"34 303,94",,,,,,,,,,,,,,,,,,,,,$2.208.139,,Objetivo Facturación,,,Objetivo Visitas,71.435,Objetivo Órdenes,155,,"-0,4594594595",Objetivo Ticket,$612.903,,,,"2,078431373",Inversión Total,,,Inv. Google,Inv. Meta,Inv. Tik Tok,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,$4.439.993,98%,$95.000.000,"44,79%",- $50.682.427,83.580,"18,48%",109,"-52,08%","0,13%",-60%, $874.332,-5%,,,152,-29%, $7.600.000,,98%,$4.460.000,$2.565.000,$575.000,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Enero,,,,,,Día,,Facturación,,,,Visitas,,Órdenes,,CR,,Ticket,,PXU,,Items,,Inversión,,,,,,,Items x ordenes,,Relación %,,,,MERCADO LIBRE,,,,,,,,,,,PROVINCIA,,,
,,,,,,,,,,,,,,,,,,,,,,Share,Target,Real,var,Target,Real V,Target,Real,Target,Real,Target,Real,Target,Real,Target,Real,Share,Target,Total Inv,Real Google,Real Meta,Tik Tok Real,var,Target,Real,Target,Real,,,Acciones comerciales,Share,Target Facturación,Facturación,Visitas,Órdenes,Conversión,Ticket,Acciones comerciales,Share,Target Facturación,Facturación,Órdenes,Ticket,
,,,,,,EMAIL MARKETING OBSERVACIONES Y ENVÍOS,Foco productos destacado ,Pauta Posteos Meta                                  ,Pauta Posteos Tiktok,A0,Killers,Foco categorias ,CAMPAÑAS  LEADS,CAMPAÑA  SECUNDARIA,ACCION COMERCIAL,ACCION COMERCIAL,ALIANZAS,DESCUENTOS BANCARIOS,ACCION COMERCIAL PRINCIPAL,DIA,FECHA,98%, $93.232.523, $42.550.096,-54%,83.580,99.022,106,51,"0,13%","0,05%", $876.007, $834.316, $625.719, $401.416,149,106,"37,00%", $7.600.000, $7.463.511, $4.478.708, $2.410.227, $574.576,-2%,1,2,"8,00%","17,54%", $146.343, $75,,"0,00%",#VALUE!, $0,0,0,#DIV/0!,#REF!, $0,"0,00%", $0, $0,0,#DIV/0!, $146.343
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,x,Kitchen  30% extra en 1 pago. ,,x,,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,miércoles,1 de abril,"2,63%", $2.498.500, $899.999,-64%,2240,1.822,3,1,"0,13%","0,05%", $858.065, $899.999, $612.904, $899.999,4,1,"6,60%", $501.466, $154.508,"$106.111,67","$48.396,52", $0,-69%,"1,40","1,00","20,07%","17,17%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,,,,Kitchen  30% extra en 1 pago. ,,,,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,jueves,2 de abril,"1,91%", $1.814.500, $2.396.792,32%,1627,2.227,2,1,"0,13%","0,04%", $858.065, $2.396.792, $612.904, $2.396.792,3,1,"3,67%", $278.592, $142.443,"$85.937,70","$56.505,01", $0,-49%,"1,40","1,00","15,35%","5,94%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,,Kitchen  30% extra en 1 pago. ,,,,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,viernes,3 de abril,"4,79%", $4.550.500, $0,-100%,4079,2.207,5,0,"0,13%","0,00%", $858.065,, $612.904,#DIV/0!,7,0,"3,67%", $278.592, $63.311,"$6.856,23","$56.454,55", $0,- $1,"1,40",#DIV/0!,"6,12%",,,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,,Kitchen  30% extra en 1 pago. ,,,,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,sábado,4 de abril,"2,36%", $2.241.949, $0,-100%,2010,2.374,3,0,"0,13%","0,00%", $858.065,, $612.904,#DIV/0!,4,0,"2,44%", $185.728, $57.710,"$0,00","$57.710,43", $0,- $1,"1,40",#DIV/0!,"8,28%",,,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,,Kitchen  30% extra en 1 pago. ,,,,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,domingo,5 de abril,"2,04%", $1.938.000, $0,-100%,1737,2.010,2,0,"0,13%","0,00%", $858.065,, $612.904,#DIV/0!,3,0,"2,54%", $193.157, $43.517,"$0,00","$43.516,56", $0,-100%,"1,40",#DIV/0!,"9,97%",,,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,Envio de email con killer semanales,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ","UN50U8000FGCZB
UN55U8000FGCZB
LS22D300GALXZB
LS25BG400ELXZB
LS32DM501ELXZB
Galaxy A16 128GB
Galaxy A36
Galaxy A56
Galaxy S25FE","FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,lunes,6 de abril,"4,40%", $4.180.000, $0,-100%,3747,2.195,5,0,"0,13%","0,00%", $858.065,, $612.904,#DIV/0!,7,0,"1,96%", $148.583, $201.743,"$159.587,57","$42.155,07", $0,7%,"1,40",#DIV/0!,"3,55%",,,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
