"34 303,94",,,,,,,,,,,,,,,,,,,,,$2.249.469,,Objetivo Facturación,,,Objetivo Visitas,71.435,Objetivo Órdenes,155,,"-0,4594594595",Objetivo Ticket,$612.903,,,,"1,058823529",Inversión Total,,,Inv. Google | AO,Inv. Google | Hot Sale > Previa ,Inv. Google | Hot Sale > Acción ,Inv. Meta | AO,Inv. Meta | Hot Sale > Previa ,Inv. Meta | Hot Sale > Acción ,Inv. Tik Tok | AO,Inv. TT | Hot Sale > Acción ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,$4.523.097,100%,$145.450.000,"107,10%", $7.859.144,186.712,"-40,97%",262,"-35,04%","0,14%",10%, $555.756,62%,,,284,-37%, $0,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Enero,,,,,,Día,,Facturación,,,,Visitas,,Órdenes,,CR,,Ticket,,PXU,,Items,,Inversión,,,,,,,,,,,,Items x ordenes,,Relación %,,,,MERCADO LIBRE,,,,,,,,,,,PROVINCIA,,,
,,,,,,,,,,,,,,,,,,,,,,Share,Target,Real,var,Target,Real V,Target,Real,Target,Real,Target,Real,Target,Real,Target,Real,Share,Target,Total Inv,Real Google,,,Real Meta,,,Tik Tok Real,,var,Target,Real,Target,Real,,,Acciones comerciales,Share,Target Facturación,Facturación,Visitas,Órdenes,Conversión,Ticket,Acciones comerciales,Share,Target Facturación,Facturación,Órdenes,Ticket,
,,,,,Lanzamientos,EMAIL MARKETING OBSERVACIONES Y ENVÍOS,Foco productos destacado ,Pauta Posteos Meta                                  ,Pauta Posteos Tiktok,A0,Killers,Foco categorias ,CAMPAÑAS  LEADS,CAMPAÑA  SECUNDARIA,ACCION COMERCIAL,ACCION COMERCIAL,ALIANZAS,DESCUENTOS BANCARIOS,ACCION COMERCIAL PRINCIPAL,DIA,FECHA,"100,0%", $147.913.687, $155.772.831,5%,186.712,110.223,262,170,"0,14%","0,15%", $565.170, $916.311, $520.485, $865.405,284,180,"37,00%", $0, $11.910.476, $7.088.243, $0, $0, $3.999.504, $0, $0, $1.011.780,,#DIV/0!,1,1,"0,00%","7,65%", $70.062, $108,,"0,00%",#VALUE!, $0,0,0,#DIV/0!,#REF!, $0,"0,00%", $0, $0,0,#DIV/0!, $70.062
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,viernes,1 de mayo,"2,05%", $2.981.725, $5.207.592,75%,4726,3.808,3,7,"0,07%","0,18%", $901.339, $743.942, $842.373, $743.942,4,7,"6,60%", $0, $243.561,"$149.884,16",,,"$93.676,78",,, $0,,#DIV/0!,"1,07","1,00","0,00%","4,68%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,sábado,2 de mayo,"0,90%", $1.309.050, $3.435.530,162%,2075,3.167,1,4,"0,07%","0,13%", $901.339, $858.883, $842.373, $858.883,2,4,"3,67%", $0, $297.116,"$216.830,44",,,"$80.285,34",,, $0,,#DIV/0!,"1,07","1,00","0,00%","8,65%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,domingo,3 de mayo,"1,72%", $2.498.009, $0,-100%,3959,3.682,3,0,"0,07%","0,00%", $901.339,, $842.373,#DIV/0!,3,0,"3,67%", $0, $276.426,"$177.103,07",,,"$99.323,16",,, $0,,#DIV/0!,"1,07",#DIV/0!,"0,00%",,,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,lunes,4 de mayo,"1,70%", $2.477.702, $7.505.994,203%,3927,4.122,3,5,"0,07%","0,12%", $901.339, $1.501.199, $842.373, $1.250.999,3,6,"2,44%", $0, $405.660,"$267.852,98",,,"$137.806,91",,, $0,,#DIV/0!,"1,07","1,20","0,00%","5,40%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,martes,5 de mayo,"0,92%", $1.340.443, $815.125,-39%,2125,3.615,1,4,"0,07%","0,11%", $901.339, $203.781, $842.373, $163.025,2,5,"2,54%", $0, $336.802,"$179.853,46",,,"$156.948,83",,, $0,,#DIV/0!,"1,07","1,25","0,00%","41,32%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,miércoles,6 de mayo,"2,81%", $4.080.747, $999.999,-75%,6468,3.560,5,1,"0,07%","0,03%", $901.339, $999.999, $842.373, $999.999,5,1,"1,96%", $0, $340.676,"$188.164,93",,,"$152.511,50",,, $0,,#DIV/0!,"1,07","1,00","0,00%","34,07%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
