# ----------------------------------------
# Adquisición de tráfico: Fuente/medio de la sesión
# Cuenta: Multipoint
# Propiedad: Multipoint 4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260501
# Fecha de finalización: 20260531
Fuente/medio de la sesión,Sesiones,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por sesión,Eventos por sesión,Número de eventos,Eventos clave,Tasa de evento clave de sesión,Total de ingresos
rrss / pauta,41957,41916,0.9990228090664252,3.903663274304645,10.015825726338871,198,2,0.003741926257835403,4462497.999005
google / cpc,23779,23260,0.9781740190924766,44.05774002270911,17.29395685268514,1121,51,0.026493965263467766,63046891.995944
metaads / pauta,15239,15224,0.9990156834437955,6.027232758054991,10.168055646695978,61,0,0.003215434083601286,0
(direct) / (none),6787,6646,0.9792249889494622,32.48696036540445,19.251952261676735,323,15,0.02799469574185944,12267935.004357
google / organic,4509,4348,0.9642936349523176,57.23419827012641,25.20270569971169,334,19,0.04058549567531603,12757350.998666
cace / Oferta,3302,3138,0.9503331314354937,49.3167777104785,16.192307692307693,226,27,0.049061175045427015,17853219.995553
Connectif / email,2429,2361,0.9720049403046521,55.4919720049403,23.386167146974064,178,9,0.05187319884726225,4871896.998918
tiktokads / pauta,1795,1785,0.9944289693593314,5.697493036211699,10.041782729805014,2,0,0.0011142061281337048,0
facebook / paid,1386,1385,0.9992784992784993,0.5670995670995671,8.74963924963925,1,0,0.0007215007215007215,0
(not set),1207,1016,0.8417564208782105,16.495443247721624,13.584921292460646,28,2,0.015741507870753936,453196.999882
facebook.com / referral,1047,1047,1,3.7765042979942693,11.904489016236868,0,0,0,0
cace / megaofertas,816,771,0.9448529411764706,67.50612745098039,19.02573529411765,84,13,0.0821078431372549,10724891.998886
m.facebook.com / referral,707,707,1,5.076379066478077,11.226308345120227,2,0,0.002828854314002829,0
gocuotas / (not set),607,606,0.9983525535420099,57.551894563426686,30.354200988467873,98,1,0.09390444810543658,129999.000306
t-sml.mtrbio.com / referral,527,521,0.9886148007590133,76.04364326375712,27.214421252371917,18,1,0.026565464895635674,840738.999336
(data not available),393,393,1,44.13486005089059,19.951653944020357,10,0,0.020356234096692113,0
admedia / display,381,376,0.9868766404199475,12.763779527559056,9.958005249343833,2,0,0.005249343832020997,0
blue / cpc,377,370,0.9814323607427056,13.819628647214854,11.692307692307692,2,0,0.002652519893899204,0
cace / platinum,360,346,0.9611111111111111,49.15555555555556,25.06111111111111,7,0,0.016666666666666666,0
tiktok / paid,281,281,1,0.03914590747330961,5.6512455516014235,0,0,0,0
metricool / linksutiles,234,232,0.9914529914529915,77.43589743589743,27.324786324786324,9,0,0.03418803418803419,0
web / home,219,183,0.8356164383561644,69.40639269406392,39.35159817351598,58,2,0.0639269406392694,2413997.999923
modo.com.ar / referral,187,179,0.9572192513368984,44.27807486631016,27.844919786096256,5,0,0.016042780748663103,0
foros.3dgames.com.ar / referral,181,173,0.9558011049723757,19.50828729281768,17.76243093922652,13,0,0.06629834254143646,0
bing / organic,177,158,0.8926553672316384,65.69491525423729,30.954802259887007,20,0,0.06779661016949153,0
gocuotas / referral,112,111,0.9910714285714286,46.267857142857146,27.6875,18,0,0.07142857142857142,0
chatgpt.com / (not set),104,104,1,42.70192307692308,17.826923076923077,6,0,0.04807692307692308,0
