Informe de anuncio
1 de abril de 2026 - 30 de abril de 2026
Estado del anuncio,URL final,URL del contador,Título,Título largo,Título largo 1,Título largo 2,Título largo 3,Título largo 4,Título largo 5,Título 1,Posición del título 1,Título 2,Posición del título 2,Título 3,Posición del título 3,Título 4,Posición del título 4,Título 5,Posición del título 5,Título 6,Posición del título 6,Título 7,Posición del título 7,Título 8,Posición del título 8,Título 9,Posición del título 9,Título 10,Posición del título 10,Título 11,Posición del título 11,Título 12,Posición del título 12,Título 13,Posición del título 13,Título 14,Posición del título 14,Título 15,Posición del título 15,Descripción,Descripción 1,Posición de la descripción 1,Descripción 2,Posición de la descripción 2,Descripción 3,Posición de la descripción 3,Descripción 4,Posición de la descripción 4,Descripción 5,ID de imagen,ID de imagen cuadrada,ID de imagen vertical,ID de logotipo,ID de logotipo horizontal,Nombre de la empresa,ID de imagen de la Red de Display,Texto de llamado a la acción,Texto de llamado a la acción 1,Texto de llamado a la acción 2,Texto de llamado a la acción 3,Texto de llamado a la acción 4,Texto de llamado a la acción 5,Título de llamado a la acción,ID de video,Banner complementario,Color de los elementos destacados,Color principal,Permitir color flexible,Preferencia de formato del anuncio,Texto promocional,Prefijo del precio,Habilitar las mejoras de los recursos,Habilitar los videos generados automáticamente,Nombre del anuncio,ad.display_url,Ruta 1,Ruta 2,Título de la tarjeta 1,Texto de llamado a la acción de la tarjeta 1,ID de imagen de la tarjeta 1,ID de imagen cuadrada de la tarjeta 1,ID de imagen vertical de la tarjeta 1,URL final de la tarjeta 1,URL final para dispositivos móviles de la tarjeta 1,Título de la tarjeta 2,Texto de llamado a la acción de la tarjeta 2,ID de imagen de la tarjeta 2,ID de imagen cuadrada de la tarjeta 2,ID de imagen vertical de la tarjeta 2,URL final de la tarjeta 2,URL final para dispositivos móviles de la tarjeta 2,Título de la tarjeta 3,Texto de llamado a la acción de la tarjeta 3,ID de imagen de la tarjeta 3,ID de imagen cuadrada de la tarjeta 3,ID de imagen vertical de la tarjeta 3,URL final de la tarjeta 3,URL final para dispositivos móviles de la tarjeta 3,Título de la tarjeta 4,Texto de llamado a la acción de la tarjeta 4,ID de imagen de la tarjeta 4,ID de imagen cuadrada de la tarjeta 4,ID de imagen vertical de la tarjeta 4,URL final de la tarjeta 4,URL final para dispositivos móviles de la tarjeta 4,Título de la tarjeta 5,Texto de llamado a la acción de la tarjeta 5,ID de imagen de la tarjeta 5,ID de imagen cuadrada de la tarjeta 5,ID de imagen vertical de la tarjeta 5,URL final de la tarjeta 5,URL final para dispositivos móviles de la tarjeta 5,Título de la tarjeta 6,Texto de llamado a la acción de la tarjeta 6,ID de imagen de la tarjeta 6,ID de imagen cuadrada de la tarjeta 6,ID de imagen vertical de la tarjeta 6,URL final de la tarjeta 6,URL final para dispositivos móviles de la tarjeta 6,Título de la tarjeta 7,Texto de llamado a la acción de la tarjeta 7,ID de imagen de la tarjeta 7,ID de imagen cuadrada de la tarjeta 7,ID de imagen vertical de la tarjeta 7,URL final de la tarjeta 7,URL final para dispositivos móviles de la tarjeta 7,Título de la tarjeta 8,Texto de llamado a la acción de la tarjeta 8,ID de imagen de la tarjeta 8,ID de imagen cuadrada de la tarjeta 8,ID de imagen vertical de la tarjeta 8,URL final de la tarjeta 8,URL final para dispositivos móviles de la tarjeta 8,Título de la tarjeta 9,Texto de llamado a la acción de la tarjeta 9,ID de imagen de la tarjeta 9,ID de imagen cuadrada de la tarjeta 9,ID de imagen vertical de la tarjeta 9,URL final de la tarjeta 9,URL final para dispositivos móviles de la tarjeta 9,Título de la tarjeta 10,Texto de llamado a la acción de la tarjeta 10,ID de imagen de la tarjeta 10,ID de imagen cuadrada de la tarjeta 10,ID de imagen vertical de la tarjeta 10,URL final de la tarjeta 10,URL final para dispositivos móviles de la tarjeta 10,URL final para celulares,Plantilla de seguimiento,Sufijo de la URL final,Parámetro personalizado,Campaña,Grupo de anuncios,Estado,Motivos del estado,Tipo de anuncio,Calidad del anuncio,Mejoras en la efectividad del anuncio,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Video,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Porcentaje de conv.,Conversiones,Costo/conv.
Detenido,https://inverfin.com.py/collections/smartphones, --, --, --, --, --, --, --, --,Celulares Libres y Financiados,1,Accedé a muchas cuotas, --,Consulta en WhatsApp Ahora, --,Celulares en Promo,1,Smartphones Todas las Marcas,1,Renová tu Celular en Inverfin, --,Descuentos Imperdibles, --,Promo Día de la Madre,2,Regalá a Mamá y Ahorrá,2,Inverfín Celulares,1,Celulares Samsung Promo, --,Celulares en Inverfín,1,Celulares Ofertas,1,Iphone Promo, --, --, --, --,Las mejores marcas y tecnología. Te asesoramos personalmente en WhatsApp., --,Accedé a cuotas y promociones exclusivas., --,Envíos a todo el país. Promo y financiación., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Celulares,Día-de-la-Madre, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search Tecnología,Celulares,Detenido,detenido,Anuncio de búsqueda responsivo,Promedio,Incluya más palabras clave en sus títulos;Incluya más palabras clave en sus descripciones;Agregue más títulos originales o deje algunos elementos sin fijar;Agrega 2 vínculos a sitios más en tu anuncio,USD,0,16.67,380,41,10.79%,0.15,6.33, --,0.00,0,0.00,0.00%,0.00,0.00
Detenido,https://inverfin.com.py/collections/televisores, --, --, --, --, --, --, --, --,Smart TV 4K en Oferta PY,1,Te asesoramos en WhatsApp, --,Precios en 55 y 65 Pulgadas, --,Lo mejor en Smart TV,1,Equipate en Inverfin,2,Televisores en Promo,1,Todo en Smart TVs,1,Ofertas Imperdibles,2,Smart TV,1, --, --, --, --, --, --, --, --, --, --, --, --, --,Las mejores marcas y tecnología. Te asesoramos personalmente en WhatsApp., --,Accedé a cuotas y promociones exclusivas., --,Renovate en Inverfín. Envíos a todo el país., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Inverfin,SmartTV, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search Tecnología,Smart TV,Detenido,detenido,Anuncio de búsqueda responsivo,Promedio,Incluya más palabras clave en sus descripciones;Agregue más títulos originales o deje algunos elementos sin fijar;Agrega 2 vínculos a sitios más en tu anuncio,USD,0,6.32,"8,056",434,5.39%,0.12,50.92, --,0.00,0,0.00,0.23%,1.00,50.92
Detenido,https://inverfin.com.py/collections/televisores, --, --, --, --, --, --, --, --,Smart TV 4K en Oferta PY,1,Te asesoramos en WhatsApp, --,Precios en 55 y 65 Pulgadas, --,Lo mejor en Smart TV,1,Equipate en Inverfin,2,Televisores Ofertas,1,Promo Día de la Madre,2, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Las mejores marcas y tecnología. Te asesoramos personalmente en WhatsApp., --,Accedé a cuotas y promociones exclusivas para regalarle a mamá.,1, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,TV,Día-de-la-madre, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search Tecnología,Smart TV,Detenido,detenido,Anuncio de búsqueda responsivo,Promedio,Agregue más títulos para aumentar sus probabilidades de tener un mejor rendimiento;Incluya más palabras clave en sus descripciones;Agregue más títulos originales o deje algunos elementos sin fijar;Agrega 2 vínculos a sitios más en tu anuncio,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
Detenido,https://inverfin.com.py/products/moto-taiga-tl-110-2g-free?_pos=1&_psq=taiga+tl+1&_ss=e&_v=1.0, --, --, --, --, --, --, --, --,Taiga TL 110 al Mejor Precio, --,Consultá Cuotas SIN Interés, --,Consultá por WhatsApp PY, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Financiación Exclusiva para Paraguay. ¡Tu 110 a un click de distancia!, --,Un asesor te espera en WhatsApp para confirmar stock y planes de pago. ¡Hacé click!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Inverfin,TaigaTL110, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search - Motos Taiga,Motos Genérica,Detenido,detenido,Anuncio de búsqueda responsivo,Pendiente,,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
Habilitado,https://inverfin.com.py/pages/televisores-pasionista, --, --, --, --, --, --, --, --,Smart TV 4K en Oferta PY,1,Te asesoramos en WhatsApp, --,Precios en 55 y 65 Pulgadas, --,Lo mejor en Smart TV,1,Equipate en Inverfin,2,Televisores en Promo,1,Todo en Smart TVs,1,Ofertas Imperdibles,2,Smart TV,1,Promo Pasionista,2, --, --, --, --, --, --, --, --, --, --, --,Las mejores marcas en Televisores. + pulgadas + cupones., --,Armá tu set up de entretenimiento. Accedé a cuotas y promociones exclusivas., --,Renovate en Inverfín. Envíos a todo el país., --,Es ahora viví la pasión con Inverfín. Con tu compra de TVs participás de sorteos.,1, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,SmartTV,Pasionista, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search Tecnología,Smart TV,Apto,,Anuncio de búsqueda responsivo,Promedio,Incluya más palabras clave en sus descripciones;Agregue más títulos originales o deje algunos elementos sin fijar;Agrega 2 vínculos a sitios más en tu anuncio,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
Detenido,https://inverfin.com.py/products/moto-taiga-tl-110-2g-free?_pos=1&_psq=taiga+tl+1&_ss=e&_v=1.0, --, --, --, --, --, --, --, --,Taiga TL 110 en Oferta Hoy,1,Asesoramiento Experto Taiga, --,Entrega Inmediata Garantizada, --,Taiga TL110 en Cuotas,1,Moto Taiga TL110 Oferta,1,Motos 110 Económicas, --,Promo Imperdible, --,Motos Nuevas en Paraguay, --,Comprá Tu Taiga en Cuotas, --,Ahorro en Motos Taiga, --, --, --, --, --, --, --, --, --, --, --, --,Movete con estilo y ahorro. Consultá nuestros planes de cuotas en WhatsApp., --,El mejor precio garantizado en Motos Taiga. Financiación y descuentos exclusivos.,1,Asesoría personalizada y con entregas en todo el país., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Motos,TaigaTL110, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search - Motos Taiga,Taiga TL 110,Detenido,detenido,Anuncio de búsqueda responsivo,Deficiente,Incluya más palabras clave en sus títulos;Agrega 3 vínculos a sitios más en tu anuncio,USD,0,15.16,"3,852",284,7.37%,0.21,58.41, --,0.00,0,0.00,63.25%,179.63,0.33
Habilitado,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Heladeras en promo en Inverfin. Aprovechá descuentos imperdibles., --, --,Hasta 12 cuotas sin interés y envío a todo el país. Ofertas por tiempo limitado., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,DSA - Inverfin,Heladeras,No apto,grupo de anuncios detenido; campaña detenida,Anuncio dinámico de búsqueda expandido, --, --,USD,0,28.20,888,97,10.92%,0.26,25.04, --,0.00,0,0.00,0.00%,0.00,0.00
Habilitado,https://inverfin.com.py/pages/dia-de-la-madre, --, --, --, --, --, --, --, --,Promo Dia de la Madre, --,Todo para la Reina de la Casa, --,Promo en Tecnología, --,El regalo para Mamá en Inverfín, --,Ofertas Imperdibles, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Descuentos y financiación exclusiva en Celulares, audio, informática, Televisores y más.", --,"Para mamá, siempre conectada y cerca de quienes más quiere se merece lo mejor.", --,"Aprovechá y ahorrá con Inverfín y que mamá disfrute todo el año,", --, --, --, --,355569559836,355411917914; 355558317312; 355400608982; 355400680451; 355483318045; 355483337287; 355483496563,355494559579,344879771569, --,Inverfín, --,Comprar, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Anuncio Día de la Madre, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Generación de demanda - Inverfin - Día de la Madre,Intención día de la madre,No apto,campaña detenida,Anuncio con imagen de generación de demanda,Buena, --;--,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
Detenido,https://inverfin.com.py/, --,Inverfin Promo Verano, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Comprá hoy y disfrutá todo el verano. Descuentos imperdibles y hasta 12 cuotas sin interés, --, --, --, --, --, --, --, --, --, --, --, --,321152650274, --,Inverfin, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Anuncio carrusel Promo verano Enero 2026, --, --, --,Promo en Climatización,Contacto,321149665088,321149675438, --,https://inverfin.com.py/collections/climatizacion, --,Promo en Electro,Contacto,321230044336,321152701478, --,https://inverfin.com.py/collections/electrodomesticos, --,Promo Motos Taiga,Contacto,313996290903,313996164996, --,https://inverfin.com.py/collections/motos, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Generación de demanda - Inverfin - Día de la Madre,Similares a compradores,Detenido,detenido; grupo de anuncios detenido; campaña detenida,Anuncio de carrusel de generación de demanda,Promedio, --;--,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
Detenido,https://inverfin.com.py/, --,Inverfin Promo Verano, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Comprá hoy y disfrutá todo el verano. Descuentos imperdibles y hasta 12 cuotas sin interés, --, --, --, --, --, --, --, --, --, --, --, --,328167069168, --,Inverfin, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Anuncio carrusel Promo verano Enero 2026 Nueva, --, --, --,Promo en Climatización,Contacto,324876817927,324925460856,324875023189,https://inverfin.com.py/collections/climatizacion, --,Promo en Electro,Contacto,324875798656,324796685963,324924554706,https://inverfin.com.py/collections/electrodomesticos, --,Promo Motos Taiga,Contacto,324924807273,324876356605,324797239850,https://inverfin.com.py/collections/motos, --,Promo en Tecnología,Comprar,324925912314,324877186156,324877185589,https://inverfin.com.py/collections/tecnologia, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Generación de demanda - Inverfin - Día de la Madre,Remarketing visitas,Detenido,detenido; grupo de anuncios detenido; campaña detenida,Anuncio de carrusel de generación de demanda,Buena, --,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
