Informe de campaña
1 de abril de 2026 - 30 de abril de 2026
Estado de la campaña,Campaña,Presupuesto,Nombre del presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Nivel de optimización,Tipo de campaña,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Tipo de estrategia de oferta,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Detenida,Generación de demanda - Inverfin - Día de la Madre*,160.00, --,Diariamente,USD,Detenida,campaña detenida, --,Generación de demanda,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar conversiones,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenida,Youtube in stream - Promo TV Pasionista,80.00, --,Diariamente,USD,Detenida,campaña detenida, --,Video,0,0,0,0, --,0,0.00,0.00,0,0,CPV objetivo,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenida,Pmax -  Aires Acondicionados,30.00, --,Diariamente,USD,Detenida,campaña detenida; Se excluyeron los productos, --,Máximo rendimiento,0.001,2.28,"11,526",301,2.61%,0.09,26.29,0.00,0,0.00,Maximizar valor de conversión,272,0.00%,0.00,0.00,0.00,0.10,0.00,0.00
Detenida,Generación de demanda - Inverfin - Día de la Madre,65.00, --,Diariamente,USD,Detenida,campaña detenida, --,Generación de demanda,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar conversiones,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenida,DSA - Inverfin,40.00, --,Diariamente,USD,Detenida,campaña detenida, --,Búsqueda,0,15.05,"30,402","4,099",13.48%,0.11,457.45,0.00,0,0.00,Maximizar conversiones,"4,099",0.02%,585.75,1.28,1.00,0.11,457.45,585.75
Habilitada,Youtube in stream Cobertura - Promo TV Pasionista,200.00, --,Diariamente,USD,Apta (limitada),limitado por el presupuesto,80.43,Video,0,0,0,0, --,0,0.00,0.00,0,0,CPM objetivo,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitada,Pmax -  Tecnología,60.00, --,Diariamente,USD,Apta (limitada),limitado por el presupuesto; algunos grupos de recursos están limitados por la política,86.32,Máximo rendimiento,0.001,0.93,"1,958,499","100,688",5.14%,0.02,1830.50,0.00,0,0.00,Maximizar valor de conversión,"47,387",0.03%,"4,796.94",2.62,25.86,0.04,70.80,"4,796.94"
Detenida,Generación de demanda - Inverfin - Día de la Madre.,50.00, --,Diariamente,USD,Detenida,campaña detenida; se rechazaron algunos anuncios, --,Generación de demanda,0,0.92,"227,858","7,045",3.09%,0.03,210.15,"7,624.00",0.03,36.28,Maximizar conversiones,"7,045",3.21%,225.92,1.08,225.92,0.03,0.93,225.92
Habilitada,Search Brand - Inverfin,60.00, --,Diariamente,USD,Apta,se rechazaron algunos anuncios,85.31,Búsqueda,0,13.63,"93,512","43,176",46.17%,0.03,1275.04,0.00,0,0.00,Maximizar conversiones,"43,176",0.01%,"1,343.83",1.05,3.52,0.03,362.47,"1,343.83"
Detenida,Search - Aires Acondicionado,20.00, --,Diariamente,USD,Detenida,campaña detenida, --,Búsqueda,0,27.22,"21,911","2,167",9.89%,0.28,596.47,0.00,0,0.00,Maximizar valor de conversión,"2,167",0.05%,"1,905.03",3.19,1.00,0.28,596.47,"1,905.03"
