Informe de grupos de anuncios
1 de abril de 2026 - 30 de abril de 2026
Estado del grupo de anuncios,Grupo de anuncios,Campaña,Código de moneda,CPV objetivo de TrueView,CPA objetivo,ROAS objetivo,CPM objetivo,Estado,Motivos del estado,Tipo de grupo de anuncios,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Inclusiones de marca,Ubicaciones de interés,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Habilitado,Intención día de la madre,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores hotsale 2026,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores,Generación de demanda - Inverfin - Día de la Madre,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores hotsale 2026,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Similares a compradores Día de la madre 2026,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Genérica Hotsale,Search - Inverfin - Hotsale Genérica,USD, --, --, --, --,No apto,se rechazaron algunos anuncios; campaña detenida,Estándar,USD,0,15.11,"11,550",957,8.29%,0.18,174.56,[],[],0.00,0,0.00,957,0.10%,135.64,0.78,1.00,0.18,174.56,135.64
Detenido,Taiga TL MAWI,Search - Motos Taiga,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Smart TV,AI Max - Categorías,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Cobertura eficiente - TV Pasionista,Youtube in stream Cobertura - Promo TV Pasionista,USD, --, --, --,0.70,Apto,desconocido,Anuncio de video responsivo,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Taiga TL 110,Search - Motos Taiga,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,14.84,"39,450","3,059",7.75%,0.19,585.60,[],[],0.00,0,0.00,"3,059",44.85%,"1,371.86",2.34,"1,371.86",0.19,0.43,"1,371.86"
Habilitado,Personalizada,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Apto,desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Lavarropas,Search Brand - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Heladeras,Search Brand - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores hotsale 2026,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,Detenido,grupo de anuncios detenido; se rechazaron algunos anuncios; campaña detenida, --,USD,0,0.48,"69,062","2,569",3.72%,0.01,33.05,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",504.00,0.07,15.25,"2,569",0.66%,17.07,0.52,17.07,0.01,1.94,17.07
Detenido,Remarketing visitas hotsale 2026,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención día de la madre,Generación de demanda - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
