Informe de palabras clave de búsqueda
1 de abril de 2026 - 30 de abril de 2026
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Habilitado,inverfin celulares,Concordancia amplia,Search Tecnología,Celulares,Apta,,,USD,0,10.06,"2,810","1,257",44.73%,0.02,28.26,"1,257",0.00%,0.00,0.00,0.00,0.02,0.00,0.00
Habilitado,celulares,Concordancia amplia,Search Tecnología,Celulares,Apta,,,USD,0,8.58,"22,928","1,224",5.34%,0.16,196.72,"1,224",0.00%,0.00,0.00,0.00,0.16,0.00,0.00
Habilitado,iphone,Concordancia amplia,Search Tecnología,Celulares,Apta,,https://inverfin.com.py/collections/iphone-estandar,USD,0,6.05,"4,639",379,8.17%,0.07,28.07,379,0.00%,0.00,0.00,0.00,0.07,0.00,0.00
Habilitado,celulares samsung,Concordancia amplia,Search Tecnología,Celulares,Apta,,https://inverfin.com.py/collections/samsung,USD,0,4.36,277,15,5.42%,0.08,1.21,15,0.00%,0.00,0.00,0.00,0.08,0.00,0.00
Habilitado,telefonos en oferta,Concordancia amplia,Search Tecnología,Celulares,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,comprar smartphone,Concordancia amplia,Search Tecnología,Celulares,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,teléfonos samsung,Concordancia amplia,Search Tecnología,Celulares,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,[celulares gama media inverfin],Concordancia exacta,Search Tecnología,Celulares,No apta,publicación limitada,https://inverfin.com.py/collections/smartphones,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,tv 50 pulgadas,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,"""smart tv 55 pulgadas 4k oferta""",Concordancia de frase,Search Tecnología,Smart TV,Apta,,https://inverfin.com.py/collections/televisores,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,oferta televisores,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,tv smart 43,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,smart tv,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,6.33,"7,993",428,5.35%,0.12,50.61,428,0.23%,119.66,2.36,1.00,0.12,50.61,119.66
Habilitado,smart tv 55 4k ofertas,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,televisores,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,5.67,54,6,11.11%,0.05,0.31,6,0.00%,0.00,0.00,0.00,0.05,0.00,0.00
Habilitado,tv smart 32,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,tv fama,Concordancia amplia,Search Tecnología,Smart TV,Apta,,https://inverfin.com.py/collections/tv-fama,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,tv samsung,Concordancia amplia,Search Tecnología,Smart TV,Apta,,https://inverfin.com.py/collections/tv-samsung,USD,0,0.00,9,0,0.00%,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,financiar smart tv sin pago inicial,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,[taiga mawi 125],Concordancia exacta,Search - Motos Taiga,Taiga TL MAWI,No apta,grupo de anuncios detenido,https://inverfin.com.py/products/moto-taiga-mawi-125?_pos=1&_psq=mawi&_ss=e&_v=1.0,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,motos taiga,Concordancia amplia,Search - Motos Taiga,Motos Genérica,Apta,,,USD,0,14.48,"6,126","1,622",26.48%,0.05,88.72,"1,622",27.74%,449.91,5.07,449.91,0.05,0.20,449.91
