Informe de campaña
1 de mayo de 2026 - 31 de mayo de 2026
Estado de la campaña,Campaña,Presupuesto,Nombre del presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Nivel de optimización,Tipo de campaña,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Tipo de estrategia de oferta,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Habilitada,AI Max - Categorías,45.00, --,Diariamente,USD,Apta (limitada),no hay suficientes palabras clave relevantes,83.04,Búsqueda,0,23.27,"49,869","3,400",6.82%,0.34,1160.62,0.00,0,0.00,Maximizar conversiones,"3,400",0.15%,"4,066.66",3.50,5.00,0.34,232.12,"4,066.66"
Habilitada,Generación de demanda - Inverfin,100.00, --,Diariamente,USD,Apta,,88.79,Generación de demanda,0,1.31,"1,867,120","51,155",2.74%,0.05,2453.02,"9,008.00",0.27,3.67,Maximizar conversiones,"51,155",1.65%,846.15,0.34,846.15,0.05,2.90,846.15
Habilitada,Search Tecnología,180.00, --,Diariamente,USD,Apta (limitada),no hay suficientes palabras clave relevantes,81.22,Búsqueda,0,36.49,"122,143","13,859",11.35%,0.32,4456.77,0.00,0,0.00,Maximizar conversiones,"13,859",0.29%,"41,701.38",9.36,40.70,0.32,109.49,"41,701.38"
Habilitada,Generación de demanda - Inverfin - TV Pasionista,25.00, --,Diariamente,USD,Apta (limitada),limitado por el presupuesto,85.66,Generación de demanda,0.001,0.88,"314,361","195,808",62.29%,0.00,275.43,"7,991.00",0.03,29.01,Maximizar conversiones,"3,574",0.77%,"1,506.83",5.47,"1,506.83",0.08,0.18,"1,506.83"
Habilitada,Pmax -  TV Promo Pasionista,150.00, --,Diariamente,USD,Apta,algunos grupos de recursos están limitados por la política,95.02,Máximo rendimiento,0.002,1.29,"1,372,733","569,332",41.47%,0.00,1767.03,0.00,0,0.00,Maximizar valor de conversión,"15,044",0.00%,19.46,0.01,0.19,0.12,9417.53,19.46
Detenida,Display Remarketing - Carritos,10.00, --,Diariamente,USD,Detenida,campaña detenida, --,Anuncio gráfico,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar conversiones,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenida,Generación de demanda - Inverfin - Día de la Madre,65.00, --,Diariamente,USD,Detenida,campaña detenida, --,Generación de demanda,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar conversiones,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenida,Pmax -  Aires Acondicionados,30.00, --,Diariamente,USD,Detenida,campaña detenida; Se excluyeron los productos, --,Máximo rendimiento,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar valor de conversión,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitada,Youtube in stream Cobertura - Promo TV Pasionista,80.00, --,Diariamente,USD,Apta (limitada),limitado por el presupuesto,80.43,Video,0.003,0.40,"792,598","154,138",19.45%,0.00,319.68,0.00,0,0.00,CPM objetivo,"1,570",0.02%,28.55,0.09,28.55,0.20,11.20,28.55
Habilitada,DSA - Inverfin,40.00, --,Diariamente,USD,Apta,,95.30,Búsqueda,0,20.85,"56,688","6,551",11.56%,0.18,1182.21,0.00,0,0.00,Maximizar conversiones,"6,551",0.03%,87.90,0.07,2.00,0.18,591.11,87.90
Detenida,Search - Aires Acondicionado,20.00, --,Diariamente,USD,Detenida,campaña detenida, --,Búsqueda,0,37.17,"4,312",400,9.28%,0.40,160.26,0.00,0,0.00,Maximizar valor de conversión,400,0.00%,0.00,0.00,0.00,0.40,0.00,0.00
Habilitada,Search Brand - Inverfin,60.00, --,Diariamente,USD,Apta,se rechazaron algunos anuncios,87.26,Búsqueda,0,16.31,"111,005","58,977",53.13%,0.03,1810.68,0.00,0,0.00,Maximizar conversiones,"58,977",0.01%,627.48,0.35,3.15,0.03,575.17,627.48
Habilitada,Pmax - Motos Taiga,60.00, --,Diariamente,USD,Apta,Se excluyeron los productos,72.51,Máximo rendimiento,0.001,2.02,"903,525","425,610",47.11%,0.00,1824.74,0.00,0,0.00,Maximizar valor de conversión,"21,343",1.95%,"8,306.79",4.55,"8,306.79",0.09,0.22,"8,306.79"
Habilitada,Pmax -  Electro,80.00, --,Diariamente,USD,Apta,,89.87,Máximo rendimiento,0.001,1.84,"2,154,319","127,032",5.90%,0.03,3959.06,0.00,0,0.00,Maximizar valor de conversión,"42,715",0.00%,467.98,0.12,2.98,0.09,1327.55,467.98
Habilitada,Search - Motos Taiga,55.00, --,Diariamente,USD,Apta,,75.75,Búsqueda,0,18.11,"92,430","16,000",17.31%,0.10,1674.17,0.00,0,0.00,Maximizar valor de conversión,"16,000",28.20%,"4,512.55",2.70,"4,512.55",0.10,0.37,"4,512.55"
Detenida,Search - Inverfin - Hotsale Genérica,25.00, --,Diariamente,USD,Detenida,campaña detenida; se rechazaron algunos anuncios, --,Búsqueda,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar clics,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitada,Pmax -  Tecnología,180.00, --,Diariamente,USD,Apta,algunos grupos de recursos están limitados por la política,89.87,Máximo rendimiento,0.003,1.35,"4,879,961","244,712",5.01%,0.03,6582.69,0.00,0,0.00,Maximizar valor de conversión,"93,267",0.01%,"19,808.70",3.01,22.46,0.07,293.09,"19,808.70"
Detenida,Generación de demanda - Inverfin - Día de la Madre.,50.00, --,Diariamente,USD,Detenida,campaña detenida; se rechazaron algunos anuncios, --,Generación de demanda,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar conversiones,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenida,Youtube in stream - Promo TV Pasionista,80.00, --,Diariamente,USD,Detenida,campaña detenida; limitado por el presupuesto, --,Video,0.001,0.57,"6,058,264","4,448,076",73.42%,0.00,3436.57,0.00,0,0.00,CPV objetivo,"6,182",0.01%,568.68,0.17,568.68,0.56,6.04,568.68
Detenida,Generación de demanda - Inverfin - Día de la Madre*,160.00, --,Diariamente,USD,Detenida,campaña detenida, --,Generación de demanda,0.002,1.12,"1,040,882","388,222",37.30%,0.00,1168.67,"14,306.00",0.08,12.24,Maximizar conversiones,"36,967",0.61%,"2,371.20",2.03,"2,371.20",0.03,0.49,"2,371.20"
Total: Campañas, --, --, --, --,USD, --,, --, --,0.001,1.63,"19,820,210","6,703,272",33.82%,0.00,32231.59,"31,305.00",1.03,0.97, --,"371,004",0.27%,"84,920.33",2.63,"18,217.24",0.09,1.77,"84,920.33"
Total: Cuenta,,,,,USD,,,,,0.001,1.63,"19,820,210","6,703,272",33.82%,0.00,32231.59,"31,305.00",1.03,0.97,,"371,004",0.27%,"84,920.33",2.63,"18,217.24",0.09,1.77,"84,920.33"
Total: Búsqueda,,,,,USD,,,,Búsqueda,0,23.93,"436,447","99,187",22.73%,0.11,10444.71,0.00,0,0.00,,"99,187",4.60%,"50,995.97",4.88,"4,563.40",0.11,2.29,"50,995.97"
Total: Máximo rendimiento,,,,,USD,,,,Máximo rendimiento,0.001,1.52,"9,310,538","1,366,686",14.68%,0.01,14133.52,0.00,0,0.00,,"172,369",0.61%,"28,602.94",2.02,"8,332.42",0.08,1.70,"28,602.94"
Total: Video,,,,,USD,,,,Video,0.001,0.55,"6,850,862","4,602,214",67.18%,0.00,3756.24,0.00,0,0.00,,"7,752",0.01%,597.23,0.16,597.23,0.48,6.29,597.23
Total: Anuncio gráfico,,,,,USD,,,,Anuncio gráfico,0,0,0,0, --,0,0.00,0.00,0,0,,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
