Informe de grupos de anuncios
18 de mayo de 2026 - 25 de mayo de 2026
Estado del grupo de anuncios,Grupo de anuncios,Campaña,Código de moneda,CPV objetivo de TrueView,CPA objetivo,ROAS objetivo,CPM objetivo,Estado,Motivos del estado,Tipo de grupo de anuncios,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Inclusiones de marca,Ubicaciones de interés,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Detenido,Similares a compradores,Generación de demanda - Inverfin - Día de la Madre,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores hotsale 2026,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Genérica Hotsale,Search - Inverfin - Hotsale Genérica,USD, --, --, --, --,No apto,se rechazaron algunos anuncios; campaña detenida,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Intención día de la madre,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores hotsale 2026,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Taiga TL MAWI,Search - Motos Taiga,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Smart TV,AI Max - Categorías,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,25.07,"12,557",924,7.36%,0.34,314.86,[],[],0.00,0,0.00,924,0.00%,0.00,0.00,0.00,0.34,0.00,0.00
Habilitado,Cobertura eficiente - TV Pasionista,Youtube in stream Cobertura - Promo TV Pasionista,USD, --, --, --,0.70,Apto,desconocido,Anuncio de video responsivo,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores hotsale 2026,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,Detenido,grupo de anuncios detenido; se rechazaron algunos anuncios; campaña detenida, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención día de la madre,Generación de demanda - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Celulares,Search Tecnología,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,56.18,"26,206","4,118",15.71%,0.36,1472.22,[],[],0.00,0,0.00,"4,118",0.17%,"3,432.13",2.33,7.00,0.36,210.32,"3,432.13"
Habilitado,Taiga TL 110,Search - Motos Taiga,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,20.36,"7,349",685,9.32%,0.22,149.61,[],[],0.00,0,0.00,685,32.95%,225.68,1.51,225.68,0.22,0.66,225.68
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Similares a compradores Día de la madre 2026,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Cocinas y Electro cocina,DSA - Inverfin,USD, --, --, --, --,Apto,desconocido,Dinámico,USD,0,26.93,"8,698","1,015",11.67%,0.23,234.28,[],[],0.00,0,0.00,"1,015",0.00%,0.00,0.00,0.00,0.23,0.00,0.00
Habilitado,Aires Acondicionados,Search - Aires Acondicionado,USD, --, --, --, --,No apto,campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Lavarropas,Search - Inverfin - Hotsale Genérica,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Lavarropas,Search - Aires Acondicionado,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Remarketing visitas hotsale 2026,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,Detenido,grupo de anuncios detenido; se rechazaron algunos anuncios; campaña detenida, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Intención TV Mundial,Youtube in stream - Promo TV Pasionista,USD,0.02, --, --, --,No apto,campaña detenida; desconocido,Anuncio de video responsivo,USD,0.001,0.61,"1,032,730","707,323",68.49%,0.00,627.33,[],[],0.00,0,0.00,"1,098",0.01%,54.94,0.09,54.94,0.57,11.42,54.94
Habilitado,carritos,Display Remarketing - Carritos,USD, --, --, --, --,No apto,campaña detenida; desconocido,Red de Display,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Heladeras,Search - Aires Acondicionado,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Linea blanca,AI Max - Categorías,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,23.06,"14,491",821,5.67%,0.41,334.20,[],[],0.00,0,0.00,821,0.12%,168.02,0.50,1.00,0.41,334.20,168.02
Detenido,Heladeras,Search Brand - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Lavarropas,Search Brand - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores Día de la madre 2026,Generación de demanda - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Personalizada,Generación de demanda - Inverfin,USD, --, --, --, --,Apto,desconocido, --,USD,0,1.02,"637,561","20,687",3.24%,0.03,651.55,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]","2,829.00",0.23,4.34,"20,687",1.43%,295.13,0.45,295.13,0.03,2.21,295.13
Habilitado,Smart TV,Search Tecnología,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,28.70,"4,526",368,8.13%,0.35,129.92,[],[],0.00,0,0.00,368,0.00%,0.00,0.00,0.00,0.35,0.00,0.00
Detenido,Remarketing visitas hotsale 2026,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,Detenido,grupo de anuncios detenido; se rechazaron algunos anuncios; campaña detenida, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
