Informe de palabras clave de búsqueda
1 de mayo de 2026 - 31 de mayo de 2026
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Detenido,smart tv 55 pulgadas precio,Concordancia amplia,AI Max - Categorías,Linea blanca,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,smart tv en oferta,Concordancia amplia,AI Max - Categorías,Linea blanca,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,microondas samsung oferta,Concordancia amplia,AI Max - Categorías,Linea blanca,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,comprar heladera samsung inverter,Concordancia amplia,AI Max - Categorías,Linea blanca,No apta,publicación limitada,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,televisores 75 pulgadas,Concordancia amplia,AI Max - Categorías,Linea blanca,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,lavarropas automático oferta,Concordancia amplia,AI Max - Categorías,Linea blanca,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Descuentos en Audio y TV.,Concordancia amplia,AI Max - Categorías,Linea blanca,Detenida,detenido; publicación limitada,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,smart tv,Concordancia amplia,AI Max - Categorías,Linea blanca,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,smart tv 65,Concordancia amplia,AI Max - Categorías,Linea blanca,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,ofertas televisores,Concordancia amplia,AI Max - Categorías,Linea blanca,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,electrodomesticos en paraguay,Concordancia amplia,AI Max - Categorías,Linea blanca,Apta,,,USD,0,23.37,"13,814",859,6.22%,0.38,322.78,859,0.35%,"3,858.79",11.95,3.00,0.38,107.59,"3,858.79"
Detenido,televisores,Concordancia amplia,AI Max - Categorías,Linea blanca,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,lavarropas carga frontal cuotas,Concordancia amplia,AI Max - Categorías,Linea blanca,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,oferta inverfin pantallas gigantes en cuotas,Concordancia amplia,AI Max - Categorías,Linea blanca,Detenida,detenido; publicación limitada,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,combos de cocina inverfin,Concordancia amplia,AI Max - Categorías,Linea blanca,No apta,publicación limitada,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,hornos eléctricos empotrables,Concordancia amplia,AI Max - Categorías,Linea blanca,Apta,,,USD,0,0.00,2,0,0.00%,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
