Informe de anuncio
18 de mayo de 2026 - 25 de mayo de 2026
Estado del anuncio,URL final,URL del contador,Título,Título largo,Título largo 1,Título largo 2,Título largo 3,Título largo 4,Título largo 5,Título 1,Posición del título 1,Título 2,Posición del título 2,Título 3,Posición del título 3,Título 4,Posición del título 4,Título 5,Posición del título 5,Título 6,Posición del título 6,Título 7,Posición del título 7,Título 8,Posición del título 8,Título 9,Posición del título 9,Título 10,Posición del título 10,Título 11,Posición del título 11,Título 12,Posición del título 12,Título 13,Posición del título 13,Título 14,Posición del título 14,Título 15,Posición del título 15,Descripción,Descripción 1,Posición de la descripción 1,Descripción 2,Posición de la descripción 2,Descripción 3,Posición de la descripción 3,Descripción 4,Posición de la descripción 4,Descripción 5,ID de imagen,ID de imagen cuadrada,ID de imagen vertical,ID de logotipo,ID de logotipo horizontal,Nombre de la empresa,ID de imagen de la Red de Display,Texto de llamado a la acción,Texto de llamado a la acción 1,Texto de llamado a la acción 2,Texto de llamado a la acción 3,Texto de llamado a la acción 4,Texto de llamado a la acción 5,Título de llamado a la acción,ID de video,Banner complementario,Color de los elementos destacados,Color principal,Permitir color flexible,Preferencia de formato del anuncio,Texto promocional,Prefijo del precio,Habilitar las mejoras de los recursos,Habilitar los videos generados automáticamente,Nombre del anuncio,ad.display_url,Ruta 1,Ruta 2,Título de la tarjeta 1,Texto de llamado a la acción de la tarjeta 1,ID de imagen de la tarjeta 1,ID de imagen cuadrada de la tarjeta 1,ID de imagen vertical de la tarjeta 1,URL final de la tarjeta 1,URL final para dispositivos móviles de la tarjeta 1,Título de la tarjeta 2,Texto de llamado a la acción de la tarjeta 2,ID de imagen de la tarjeta 2,ID de imagen cuadrada de la tarjeta 2,ID de imagen vertical de la tarjeta 2,URL final de la tarjeta 2,URL final para dispositivos móviles de la tarjeta 2,Título de la tarjeta 3,Texto de llamado a la acción de la tarjeta 3,ID de imagen de la tarjeta 3,ID de imagen cuadrada de la tarjeta 3,ID de imagen vertical de la tarjeta 3,URL final de la tarjeta 3,URL final para dispositivos móviles de la tarjeta 3,Título de la tarjeta 4,Texto de llamado a la acción de la tarjeta 4,ID de imagen de la tarjeta 4,ID de imagen cuadrada de la tarjeta 4,ID de imagen vertical de la tarjeta 4,URL final de la tarjeta 4,URL final para dispositivos móviles de la tarjeta 4,Título de la tarjeta 5,Texto de llamado a la acción de la tarjeta 5,ID de imagen de la tarjeta 5,ID de imagen cuadrada de la tarjeta 5,ID de imagen vertical de la tarjeta 5,URL final de la tarjeta 5,URL final para dispositivos móviles de la tarjeta 5,Título de la tarjeta 6,Texto de llamado a la acción de la tarjeta 6,ID de imagen de la tarjeta 6,ID de imagen cuadrada de la tarjeta 6,ID de imagen vertical de la tarjeta 6,URL final de la tarjeta 6,URL final para dispositivos móviles de la tarjeta 6,Título de la tarjeta 7,Texto de llamado a la acción de la tarjeta 7,ID de imagen de la tarjeta 7,ID de imagen cuadrada de la tarjeta 7,ID de imagen vertical de la tarjeta 7,URL final de la tarjeta 7,URL final para dispositivos móviles de la tarjeta 7,Título de la tarjeta 8,Texto de llamado a la acción de la tarjeta 8,ID de imagen de la tarjeta 8,ID de imagen cuadrada de la tarjeta 8,ID de imagen vertical de la tarjeta 8,URL final de la tarjeta 8,URL final para dispositivos móviles de la tarjeta 8,Título de la tarjeta 9,Texto de llamado a la acción de la tarjeta 9,ID de imagen de la tarjeta 9,ID de imagen cuadrada de la tarjeta 9,ID de imagen vertical de la tarjeta 9,URL final de la tarjeta 9,URL final para dispositivos móviles de la tarjeta 9,Título de la tarjeta 10,Texto de llamado a la acción de la tarjeta 10,ID de imagen de la tarjeta 10,ID de imagen cuadrada de la tarjeta 10,ID de imagen vertical de la tarjeta 10,URL final de la tarjeta 10,URL final para dispositivos móviles de la tarjeta 10,URL final para celulares,Plantilla de seguimiento,Sufijo de la URL final,Parámetro personalizado,Campaña,Grupo de anuncios,Estado,Motivos del estado,Tipo de anuncio,Calidad del anuncio,Mejoras en la efectividad del anuncio,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Video,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Porcentaje de conv.,Conversiones,Costo/conv.
Habilitado,https://inverfin.com.py/collections/televisores, --, --, --, --, --, --, --, --,Equipamiento de Cocina, --,Heladeras y Lavarropas, --,Equipá tu Cocina en Cuotas, --,Ofertas en Línea Blanca Py, --,Garantía para tu Hogar, --,Hornos Eléctricos y Anafes, --,Lavarropas Automático Ofertas, --,Ahorrá con Inverfín, --,Electro Cocina en Promo, --,Heladeras en Oferta, --,Cocinas a Gas 4 hornallas, --,Electrodomésticos Ofertas, --, --, --, --, --, --, --, --,Accedé a cuotas y promociones exclusivas., --,"Marcas destacadas en heladeras, cocinas, anafes, hornos, lavarropas a precio imperdible.", --,Ahorrá en Inverfín. Envíos a todo el país. ¡Comprá online y recibí en casa!, --,Los electrodomésticos que necesitás con la confianza de siempre. ¡Aprovechá hoy!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Electro, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,AI Max - Categorías,Linea blanca,Apto,,Anuncio de búsqueda responsivo,Promedio,Incluya más palabras clave en sus títulos;Incluya más palabras clave en sus descripciones;Agrega 3 vínculos a sitios más en tu anuncio,USD,0,23.06,"14,491",821,5.67%,0.41,334.20, --,0.00,0,0.00,0.12%,1.00,334.20
Habilitado,https://inverfin.com.py/collections/televisores, --, --, --, --, --, --, --, --,Televisores, --,Smart TV Ofertas, --,Smart TV 4K en Oferta PY, --,Lo mejor en Smart TV, --,Televisores Ofertas, --,Tu Cine en Casa con Inverfín, --,Televisores 4K en Cuotas, --,Descuentos en Audio y TV, --,Televisores Garantía Oficial, --,Disfrutá el Mejor Fútbol en 4K, --, --, --, --, --, --, --, --, --, --, --, --,Accedé a cuotas y promociones exclusivas., --,Marcas destacadas. Te asesoramos personalmente en WhatsApp., --,Ahorrá en Inverfín. Envíos a todo el país. ¡Comprá online y recibí en casa!, --,Disfrutá tus series y fútbol con la mejor definición. Smart TVs de todas las pulgadas., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Televisores, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,AI Max - Categorías,Smart TV,Apto,,Anuncio de búsqueda responsivo,Promedio,Incluya más palabras clave en sus títulos;Incluya más palabras clave en sus descripciones;Agrega 4 vínculos a sitios más en tu anuncio,USD,0,24.08,"11,461",839,7.32%,0.33,275.97, --,0.00,0,0.00,0.00%,0.00,0.00
Detenido,https://inverfin.com.py/pages/televisores-pasionista, --, --, --,"+ Pulgadas + cupones. Es ahora, sorteamos 100 TVs. Viví cada partido a lo grande.", --, --, --, --,Televisores en Promo, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Aprovechá los descuentos y financiación de Inverfín., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Comprar, --, --, --, --, --,366795713583, --, --, --, --, --, --, --, --, --,Anuncio TV Pasionista recortado, --,Televisores,Pasionista, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Youtube in stream Cobertura - Promo TV Pasionista,Cobertura eficiente - TV Pasionista,Detenido,detenido,Anuncio de video responsivo, --, --,USD,0,0,0,0, --,0,0.00,https://www.youtube.com/watch?v=KqwoyxdBwsM,0.00,0,0,0.00%,0.00,0.00
Habilitado,https://inverfin.com.py/pages/televisores-pasionista, --, --, --,"+ Pulgadas + cupones. Es ahora, sorteamos 100 TVs. Viví cada partido a lo grande.", --, --, --, --,Televisores en Promo, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Aprovechá los descuentos y financiación de Inverfín., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Comprar, --, --, --, --, --,362808322243; 362725774943, --, --, --, --, --, --, --, --, --,Anuncio TV Pasionista, --,Televisores,Pasionista, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Youtube in stream Cobertura - Promo TV Pasionista,Cobertura eficiente - TV Pasionista,Apto,,Anuncio de video responsivo, --, --,USD,0,0,0,0, --,0,0.00,https://www.youtube.com/watch?v=IvAAdpHfouo; https://www.youtube.com/watch?v=za-_pP2vOnA,0.00,0,0,0.00%,0.00,0.00
Habilitado,https://inverfin.com.py/pages/televisores-pasionista, --, --, --, --, --, --, --, --,Televisores, --,Smart TV Ofertas, --,Smart TV 4K en Oferta PY, --,Lo mejor en Smart TV, --,Televisores Ofertas, --,Tu Cine en Casa con Inverfín, --,Televisores 4K en Cuotas, --,Descuentos en Audio y TV, --,Televisores Garantía Oficial, --,Disfrutá el Mejor Fútbol en 4K, --,Promo Pasionista, --, --, --, --, --, --, --, --, --, --,"Promo pasionista, comprando Televisores participas de sorteos de 100 TVs Fama.", --,Accedé a cuotas y promociones exclusivas. Marcas destacadas. Es ahora equipate., --,Ahorrá en Inverfín. Envíos a todo el país. ¡Comprá online y recibí en casa!, --,Disfrutá tus series y fútbol con la mejor definición. Smart TVs de todas las pulgadas., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Televisores,Pasionista, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,AI Max - Categorías,Smart TV,Apto,,Anuncio de búsqueda responsivo,Promedio,Incluya más palabras clave en sus títulos;Incluya más palabras clave en sus descripciones;Agrega 4 vínculos a sitios más en tu anuncio,USD,0,35.48,"1,096",85,7.76%,0.46,38.89, --,0.00,0,0.00,0.00%,0.00,0.00
Habilitado,https://inverfin.com.py/collections/heladeras-1, --, --, --, --, --, --, --, --,Heladeras No Frost en Oferta, --,Asesoramiento Directo WhatsApp, --,¡Precios en Guaraníes/USD!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Encontrá la heladera ideal. ¡Precios que no vas a creer! Click para ver ofertas., --,¿Dudas de stock o medidas? Consultá con nuestro asesor personal por WhatsApp ahora mismo., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Inverfin,Heladeras, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search - Inverfin - Hotsale Genérica,Heladeras,No apto,grupo de anuncios detenido; campaña detenida,Anuncio de búsqueda responsivo,Deficiente,Agregue más títulos para aumentar sus probabilidades de tener un mejor rendimiento;Incluya más palabras clave en sus títulos;Incluya más palabras clave en sus descripciones;Agregue más títulos originales o deje algunos elementos sin fijar;Agrega 6 vínculos a sitios más en tu anuncio,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
Detenido,https://inverfin.com.py/, --, --, --, --, --, --, --, --,Inverfin,1,Descuentos Imperdibles,2,Electro y Tecnología,2,Inverfin Tienda Online,1,Precios Imperdibles, --,Todos los Medios de Pago, --,Beneficios con Tarjeta Crédito, --,Renová Tu Hogar Hoy, --,Hasta 12 Cuotas Sin Interés, --,La Calidad de Siempre, --,Inverfin Electrodomésticos,1,Inverfin Catálogo, --,Comprá en Inverfin,1,Motos Taiga Promo, --, --, --, --,Aprovechá los descuentos y financiación exclusiva + envío a todo el país.,1,¿Necesitas asesoramiento técnico? Escribinos por WhatsApp al instante., --,Equipate con las mejores promos., --,"Aires, Electro cocina, motos y más con importantes descuentos + envío gratis.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Inverfin, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenido,detenido; campaña detenida,Anuncio de búsqueda responsivo,Pendiente,,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
Habilitado,https://inverfin.com.py/pages/hot-sale-en-inverfin, --, --, --, --, --, --, --, --,Inverfin - Llegó Hotsale,1,Descuentos Imperdibles,2,Electro y Tecnología,2,Inverfin Tienda Online,1,Aprovechá Hasta 50% Off,2,Todos los Medios de Pago, --,Beneficios con Tarjeta Crédito, --,Renová Tu Hogar Hoy, --,Hasta 12 Cuotas Sin Interés, --,La Calidad de Siempre, --,Inverfin Electrodomésticos, --,Inverfin Catálogo, --,Hotsale en Inverfín,1,Motos Taiga Promo, --,Inverfín 72 Hs de Ofertas,1, --,Descuentos imperdibles de Hotsale y financiación exclusiva + envío a todo el país.,1,¿Necesitas asesoramiento técnico? Escribinos por WhatsApp al instante., --,Las mejores ofertas del Hot Sale. Comprá en cuotas y con hasta 50% Off.,2,"Aires, Electro cocina, motos y más con importantes descuentos + envío gratis.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Hotsale, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,No apto,rechazado; campaña detenida,Anuncio de búsqueda responsivo,Deficiente,Incluya más palabras clave en sus títulos;Agregue más títulos originales o deje algunos elementos sin fijar;Agrega 3 vínculos a sitios más en tu anuncio,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
Detenido,https://inverfin.com.py/, --, --, --, --, --, --, --, --,Inverfin - Se Viene el Hotsale,1,Hot Sale Paraguay - Se Viene,1,Electro y Tecnología, --,Se viene el Hot Sale Inverfin,1,"{GLOBAL_COUNTDOWN(2026-04-06 00:00:00,5)}",2,Todos los Medios de Pago, --,Descuentos Electrodomésticos, --,Renová Tu Hogar Hoy, --,Ofertas Paraguay Online, --,Llega Hot Sale Paraguay 2026,1,Llega Hotsale Paraguay,1,Anticipate a las Ofertas,2,Llega Hotsale a Inverfín,1,Ofertas por Tiempo Limitado,2,Inverfín 72 Hs de Ofertas,1, --,Aprovechá los descuentos y financiación exclusiva + envío a todo el país.,1,¿Necesitas asesoramiento técnico? Escribinos por WhatsApp al instante., --,Las mejores ofertas del Hot Sale están por llegar. Comprá en cuotas y con hasta 50% Off.,2,"Aires, Electro cocina, motos y más con importantes descuentos + envío gratis.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Se-viene,Hotsale, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenido,detenido; campaña detenida,Anuncio de búsqueda responsivo,Promedio,Incluya más palabras clave en sus descripciones;Agregue más títulos originales o deje algunos elementos sin fijar;Agrega 3 vínculos a sitios más en tu anuncio,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
Habilitado,https://inverfin.com.py/collections/lavarropas-hotsale-2024, --, --, --, --, --, --, --, --,Lavarropas Automáticos Hoy, --,Consultá con un experto, --,Hasta 12 Cuotas SIN Interés, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,La Lavadora que buscás con entrega garantizada. ¡Te ayudamos a encontrarla!, --,El mejor precio garantizado. Financiación disponible. Consultá stock y cuotas por WhatsApp, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Inverfin,Lavarropas, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Search - Inverfin - Hotsale Genérica,Lavarropas,No apto,grupo de anuncios detenido; campaña detenida,Anuncio de búsqueda responsivo,Deficiente,Agregue más títulos para aumentar sus probabilidades de tener un mejor rendimiento;Incluya más palabras clave en sus títulos;Incluya más palabras clave en sus descripciones;Agregue más títulos originales o deje algunos elementos sin fijar;Agrega 6 vínculos a sitios más en tu anuncio,USD,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
