Informe de campaña
18 de mayo de 2026 - 25 de mayo de 2026
Estado de la campaña,Campaña,Presupuesto,Nombre del presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Nivel de optimización,Tipo de campaña,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Tipo de estrategia de oferta,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Habilitada,Pmax - Motos Taiga,60.00, --,Diariamente,USD,Apta,Se excluyeron los productos,72.51,Máximo rendimiento,0.001,3.06,"153,751","82,419",53.61%,0.01,470.76,0.00,0,0.00,Maximizar valor de conversión,"4,856",2.14%,"1,765.74",3.75,"1,765.74",0.10,0.27,"1,765.74"
Habilitada,Search Brand - Inverfin,60.00, --,Diariamente,USD,Apta,se rechazaron algunos anuncios,87.26,Búsqueda,0,16.85,"30,428","16,605",54.57%,0.03,512.61,0.00,0,0.00,Maximizar conversiones,"16,605",0.00%,0.00,0.00,0.00,0.03,0.00,0.00
Habilitada,Pmax -  Tecnología,180.00, --,Diariamente,USD,Apta,algunos grupos de recursos están limitados por la política,89.87,Máximo rendimiento,0.002,1.44,"1,198,099","90,460",7.55%,0.02,1722.77,0.00,0,0.00,Maximizar valor de conversión,"21,432",0.00%,"1,634.84",0.95,3.00,0.08,574.26,"1,634.84"
Habilitada,Generación de demanda - Inverfin - TV Pasionista,25.00, --,Diariamente,USD,Apta (limitada),limitado por el presupuesto,85.66,Generación de demanda,0.001,0.82,"157,960","95,234",60.29%,0.00,129.23,"4,739.00",0.03,36.67,Maximizar conversiones,"2,288",0.93%,881.32,6.82,881.32,0.06,0.15,881.32
Habilitada,Search Tecnología,180.00, --,Diariamente,USD,Apta (limitada),no hay suficientes palabras clave relevantes,81.22,Búsqueda,0,52.13,"30,732","4,486",14.60%,0.36,1602.14,0.00,0,0.00,Maximizar conversiones,"4,486",0.16%,"3,432.13",2.14,7.00,0.36,228.88,"3,432.13"
Habilitada,Pmax -  TV Promo Pasionista,150.00, --,Diariamente,USD,Apta,algunos grupos de recursos están limitados por la política,95.02,Máximo rendimiento,0.001,1.08,"726,301","328,066",45.17%,0.00,786.27,0.00,0,0.00,Maximizar valor de conversión,"7,580",0.00%,19.46,0.02,0.19,0.10,4190.49,19.46
Detenida,Youtube in stream - Promo TV Pasionista,80.00, --,Diariamente,USD,Detenida,campaña detenida; limitado por el presupuesto, --,Video,0.001,0.61,"1,032,730","707,323",68.49%,0.00,627.33,0.00,0,0.00,CPV objetivo,"1,098",0.01%,54.94,0.09,54.94,0.57,11.42,54.94
Habilitada,DSA - Inverfin,40.00, --,Diariamente,USD,Apta,,95.30,Búsqueda,0,25.83,"11,269","1,553",13.78%,0.19,291.05,0.00,0,0.00,Maximizar conversiones,"1,553",0.00%,0.00,0.00,0.00,0.19,0.00,0.00
Habilitada,Youtube in stream Cobertura - Promo TV Pasionista,80.00, --,Diariamente,USD,Apta (limitada),limitado por el presupuesto,80.43,Video,0,0,0,0, --,0,0.00,0.00,0,0,CPM objetivo,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenida,Generación de demanda - Inverfin - Día de la Madre,65.00, --,Diariamente,USD,Detenida,campaña detenida, --,Generación de demanda,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar conversiones,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
