Informe de palabras clave de búsqueda
18 de mayo de 2026 - 25 de mayo de 2026
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Habilitado,celulares,Concordancia amplia,Search Tecnología,Celulares,Apta,,,USD,0,54.14,"18,017","2,570",14.26%,0.38,975.45,"2,570",0.16%,"1,663.49",1.71,4.00,0.38,243.86,"1,663.49"
Habilitado,telefonos en oferta,Concordancia amplia,Search Tecnología,Celulares,Apta,,,USD,0,29.96,"1,275",161,12.63%,0.24,38.20,161,0.00%,0.00,0.00,0.00,0.24,0.00,0.00
Habilitado,comprar smartphone,Concordancia amplia,Search Tecnología,Celulares,Apta,,,USD,0,17.42,75,6,8.00%,0.22,1.31,6,0.00%,0.00,0.00,0.00,0.22,0.00,0.00
Habilitado,celulares samsung,Concordancia amplia,Search Tecnología,Celulares,Apta,,https://inverfin.com.py/collections/samsung,USD,0,20.60,228,16,7.02%,0.29,4.70,16,0.00%,0.00,0.00,0.00,0.29,0.00,0.00
Habilitado,teléfonos samsung,Concordancia amplia,Search Tecnología,Celulares,Apta,,,USD,0,0.00,2,0,0.00%,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,[celulares gama media inverfin],Concordancia exacta,Search Tecnología,Celulares,No apta,publicación limitada,https://inverfin.com.py/collections/smartphones,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,inverfin celulares,Concordancia amplia,Search Tecnología,Celulares,Apta,,,USD,0,12.52,767,398,51.89%,0.02,9.60,398,0.00%,0.00,0.00,0.00,0.02,0.00,0.00
Habilitado,iphone,Concordancia amplia,Search Tecnología,Celulares,Apta,,https://inverfin.com.py/collections/iphone-estandar,USD,0,75.83,"5,842",967,16.55%,0.46,442.97,967,0.31%,"1,768.64",3.99,3.00,0.46,147.66,"1,768.64"
Habilitado,financiar smart tv sin pago inicial,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,332.18,52,33,63.46%,0.52,17.27,33,0.00%,0.00,0.00,0.00,0.52,0.00,0.00
Habilitado,tv fama,Concordancia amplia,Search Tecnología,Smart TV,Apta,,https://inverfin.com.py/collections/tv-fama,USD,0,8.53,16,4,25.00%,0.03,0.14,4,0.00%,0.00,0.00,0.00,0.03,0.00,0.00
Habilitado,smart tv,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,26.12,"4,168",313,7.51%,0.35,108.87,313,0.00%,0.00,0.00,0.00,0.35,0.00,0.00
Habilitado,televisores,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,21.28,80,9,11.25%,0.19,1.70,9,0.00%,0.00,0.00,0.00,0.19,0.00,0.00
Habilitado,oferta televisores,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,tv smart 43,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,24.39,43,3,6.98%,0.35,1.05,3,0.00%,0.00,0.00,0.00,0.35,0.00,0.00
Habilitado,tv samsung,Concordancia amplia,Search Tecnología,Smart TV,Apta,,https://inverfin.com.py/collections/tv-samsung,USD,0,0.00,50,0,0.00%,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,tv 50 pulgadas,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,7.20,25,1,4.00%,0.18,0.18,1,0.00%,0.00,0.00,0.00,0.18,0.00,0.00
Habilitado,smart tv 55 4k ofertas,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,tv smart 32,Concordancia amplia,Search Tecnología,Smart TV,Apta,,,USD,0,7.67,92,5,5.43%,0.14,0.71,5,0.00%,0.00,0.00,0.00,0.14,0.00,0.00
Habilitado,"""smart tv 55 pulgadas 4k oferta""",Concordancia de frase,Search Tecnología,Smart TV,Apta,,https://inverfin.com.py/collections/televisores,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,[lavarropas ofertas inverfin],Concordancia exacta,Search - Inverfin - Hotsale Genérica,Lavarropas,No apta,publicación limitada; grupo de anuncios detenido; campaña detenida,https://inverfin.com.py/collections/lavarropas-hotsale-2024,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,hot sale py,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire inverter cuotas,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,hotsale paraguay electrodomesticos,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; publicación limitada; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,hotsale motos,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado oferta,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,precio aire acondicionado paraguay,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire inverter en promoción,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,split precio paraguay,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire split paraguay,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado inverter oferta,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,hot sale paraguay,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,split 9000 btu paraguay,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,hotsale paraguay electro,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; publicación limitada; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,mejor aire inverter 2025,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado 9000,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado cuotas,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,a/c 9000 btu cuotas,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; publicación limitada; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,ofertas aire acondicionado,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,comprar aire acondicionado,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire 9000 btu,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado split precio,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire inverter 12000 btu precio,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado entrega inmediata,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,[aire acondicionado 9000],Concordancia exacta,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado inverter ahorro energía,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado precio paraguay,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,venta de aires acondicionados online,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,a/c precio paraguay,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; publicación limitada; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,hotsale paraguay celulares,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,Detenida,detenido; publicación limitada; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,descuentos electrodomesticos paraguay,Concordancia amplia,Search - Inverfin - Hotsale Genérica,Genérica Hotsale,No apta,publicación limitada; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
