Informe de campaña
25 de mayo de 2026 - 1 de junio de 2026
Estado de la campaña,Campaña,Presupuesto,Nombre del presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Nivel de optimización,Tipo de campaña,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Tipo de estrategia de oferta,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Detenida,Search - Aires Acondicionado,20.00, --,Diariamente,USD,Detenida,campaña detenida, --,Búsqueda,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar valor de conversión,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenida,Generación de demanda - Inverfin - Día de la Madre.,50.00, --,Diariamente,USD,Detenida,campaña detenida; se rechazaron algunos anuncios, --,Generación de demanda,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar conversiones,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitada,Search Tecnología,180.00, --,Diariamente,USD,Apta (limitada),no hay suficientes palabras clave relevantes,81.22,Búsqueda,0,66.09,"21,680","3,711",17.12%,0.39,1432.91,0.00,0,0.00,Maximizar conversiones,"3,711",0.57%,"18,749.54",13.08,21.00,0.39,68.23,"18,749.54"
Habilitada,Generación de demanda - Inverfin - TV Pasionista,25.00, --,Diariamente,USD,Apta (limitada),limitado por el presupuesto,85.66,Generación de demanda,0.001,0.88,"225,589","146,707",65.03%,0.00,197.52,"4,992.00",0.04,25.27,Maximizar conversiones,"1,814",0.61%,898.61,4.55,898.61,0.11,0.22,898.61
Detenida,Youtube in stream - Promo TV Pasionista,80.00, --,Diariamente,USD,Detenida,campaña detenida; limitado por el presupuesto, --,Video,0.001,0.49,"553,243","395,166",71.43%,0.00,273.58,0.00,0,0.00,CPV objetivo,561,0.01%,33.18,0.12,33.18,0.49,8.25,33.18
Habilitada,Youtube in stream Cobertura - Promo TV Pasionista,80.00, --,Diariamente,USD,Apta (limitada),limitado por el presupuesto,80.43,Video,0.003,0.42,"961,062","187,180",19.48%,0.00,400.55,0.00,0,0.00,CPM objetivo,"1,931",0.02%,43.55,0.11,43.55,0.21,9.20,43.55
Habilitada,DSA - Inverfin,40.00, --,Diariamente,USD,Apta,,95.30,Búsqueda,0,25.02,"14,014","2,362",16.85%,0.15,350.60,0.00,0,0.00,Maximizar conversiones,"2,362",0.04%,53.36,0.15,1.00,0.15,350.60,53.36
Detenida,Pmax -  Aires Acondicionados,30.00, --,Diariamente,USD,Detenida,campaña detenida; Se excluyeron los productos, --,Máximo rendimiento,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar valor de conversión,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitada,Pmax -  Electro,80.00, --,Diariamente,USD,Apta,,89.87,Máximo rendimiento,0.001,2.00,"296,688","14,849",5.00%,0.04,593.87,0.00,0,0.00,Maximizar valor de conversión,"6,928",0.00%,0.00,0.00,0.00,0.09,0.00,0.00
Detenida,Generación de demanda - Inverfin - Día de la Madre*,160.00, --,Diariamente,USD,Detenida,campaña detenida, --,Generación de demanda,0,0,0,0, --,0,0.00,0.00,0,0,Maximizar conversiones,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
