Informe de grupos de anuncios
25 de mayo de 2026 - 1 de junio de 2026
Estado del grupo de anuncios,Grupo de anuncios,Campaña,Código de moneda,CPV objetivo de TrueView,CPA objetivo,ROAS objetivo,CPM objetivo,Estado,Motivos del estado,Tipo de grupo de anuncios,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Inclusiones de marca,Ubicaciones de interés,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Habilitado,Intención TV Mundial,Youtube in stream - Promo TV Pasionista,USD,0.02, --, --, --,No apto,campaña detenida; desconocido,Anuncio de video responsivo,USD,0.001,0.49,"553,243","395,166",71.43%,0.00,273.58,[],[],0.00,0,0.00,561,0.01%,33.18,0.12,33.18,0.49,8.25,33.18
Habilitado,Brand Inverfin,Search Brand - Inverfin,USD, --, --, --, --,Apto,se rechazaron algunos anuncios,Estándar,USD,0,18.02,"26,137","15,636",59.82%,0.03,470.95,[],[],0.00,0,0.00,"15,636",0.00%,25.13,0.05,0.30,0.03,1589.88,25.13
Detenido,Cocinas y Electro cocina #2,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Dinámico,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Remarketing visitas,Generación de demanda - Inverfin - Día de la Madre,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Motos Taiga,DSA - Inverfin,USD, --, --, --, --,Apto,desconocido,Dinámico,USD,0,22.11,"3,683",717,19.47%,0.11,81.45,[],[],0.00,0,0.00,717,0.00%,0.00,0.00,0.00,0.11,0.00,0.00
Detenido,Similares a compradores hotsale 2026,Generación de demanda - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Similares a compradores Día de la madre 2026,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Grupo de anuncios 1,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención Día de la madre,Youtube in stream - Promo TV Pasionista,USD,0.02, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Anuncio de video responsivo,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Intención día de la madre,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Similares a compradores TV Pasionista,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Apto,desconocido, --,USD,0.003,2.48,"9,962","4,705",47.23%,0.01,24.69,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",694.00,0.04,28.11,273,2.00%,94.05,3.81,94.05,0.09,0.26,94.05
Habilitado,Smart TV,Search Tecnología,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,26.95,"3,678",282,7.67%,0.35,99.13,[],[],0.00,0,0.00,282,0.00%,0.00,0.00,0.00,0.35,0.00,0.00
Detenido,Lavarropas,Search - Aires Acondicionado,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Remarketing visitas,Generación de demanda - Inverfin,USD, --, --, --, --,Apto,desconocido, --,USD,0,1.31,"128,905","3,723",2.89%,0.05,168.90,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",496.00,0.34,2.94,"3,723",1.46%,54.23,0.32,54.23,0.05,3.11,54.23
Habilitado,Motos Genérica,Search - Motos Taiga,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,18.03,"10,663","2,901",27.21%,0.07,192.29,[],[],0.00,0,0.00,"2,901",18.60%,539.73,2.81,539.73,0.07,0.36,539.73
Habilitado,Taiga TL 125,Search - Motos Taiga,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,16.83,695,42,6.04%,0.28,11.70,[],[],0.00,0,0.00,42,35.34%,14.84,1.27,14.84,0.28,0.79,14.84
Detenido,Heladeras,Search - Inverfin - Hotsale Genérica,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Celulares,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Dinámico,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Intención TV Pasionista,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Apto,desconocido, --,USD,0.001,0.80,"215,627","142,002",65.86%,0.00,172.83,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]","4,298.00",0.04,24.87,"1,541",0.57%,804.56,4.66,804.56,0.11,0.21,804.56
Detenido,Heladeras,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Dinámico,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Intención día de la madre,Generación de demanda - Inverfin - Día de la Madre,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Linea blanca,AI Max - Categorías,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,24.82,"8,255",644,7.80%,0.32,204.86,[],[],0.00,0,0.00,644,0.00%,0.00,0.00,0.00,0.32,0.00,0.00
Habilitado,Aires Acondicionados,Search - Aires Acondicionado,USD, --, --, --, --,No apto,campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Celulares,Search Tecnología,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,74.09,"18,002","3,429",19.05%,0.39,1333.78,[],[],0.00,0,0.00,"3,429",0.61%,"18,749.54",14.06,21.00,0.39,63.51,"18,749.54"
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores hotsale 2026,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,Detenido,grupo de anuncios detenido; se rechazaron algunos anuncios; campaña detenida, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Lavarropas,Search Brand - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,TV,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido,Dinámico,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Smart TV,AI Max - Categorías,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,22.87,"9,227",757,8.20%,0.28,211.03,[],[],0.00,0,0.00,757,0.00%,0.00,0.00,0.00,0.28,0.00,0.00
Detenido,Similares a compradores hotsale 2026,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores,Generación de demanda - Inverfin - Día de la Madre,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Genérica Hotsale,Search - Inverfin - Hotsale Genérica,USD, --, --, --, --,No apto,se rechazaron algunos anuncios; campaña detenida,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Detenido,grupo de anuncios detenido; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Intención día de la madre,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
