"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-04-01,2026-04-30,"DINAMICO (carrusel) Killers (actualizar conjunto de prod)",not_delivering,8,actions:offsite_conversion.fb_pixel_purchase,2079.43375,2000,Diario,16635.47,7889,4613,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-27T14:46:28-0300,-,-,-,"Killers Mensuales | RMK WEB (70)",,
2026-04-01,2026-04-30,"DINAMICO (img/video) Killers (actualizar conjunto de prod) - Copia",not_delivering,8,actions:offsite_conversion.fb_pixel_purchase,856.83125,2000,Diario,6854.65,2249,1269,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-27T14:46:28-0300,-,-,-,"Killers Mensuales | RMK WEB (70)",,
2026-04-01,2026-04-30,"DINAMICO (img/video) Killers (actualizar conjunto de prod) - Copia",not_delivering,141,actions:offsite_conversion.fb_pixel_purchase,374.31106383,2000,Diario,52777.86,28492,12763,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-06T22:28:36-0300,-,-,-,"AO Catalogo | DABA",,
2026-04-01,2026-04-30,"DINAMICO (carrusel) Killers (actualizar conjunto de prod)",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,2982.535,2000,Diario,5965.07,3052,2040,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-06T22:28:36-0300,-,-,-,"AO Catalogo | DABA",,
2026-04-01,2026-04-30,"Dinamico (carrusel) Wearables",not_delivering,1778,actions:omni_landing_page_view,29.32776715,2000,Diario,52144.77,76912,52057,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:21:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-04-01,2026-04-30,"Dinamico (carrusel) Celu",not_delivering,7278,actions:omni_landing_page_view,16.19605798,7040,Diario,117874.91,251518,134340,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:19:44-0300,-,-,-,"AO (Celulares)  | Target A+",,
2026-04-01,2026-04-30,"COLECCION c/img Generica AO Feb2025",not_delivering,124,actions:omni_landing_page_view,21.22741935,2000,Diario,2632.2,5765,4080,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-24T17:25:47-0300,-,-,-,"AO Trafico | Target A+",,
2026-04-01,2026-04-30,"IMG AO TV Feb2025",not_delivering,3529,actions:omni_landing_page_view,32.21322754,7000,Diario,113680.48,101893,55910,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:09:59-0300,-,-,-,"AO (TV)  | Target A+",,
2026-04-01,2026-04-30,"COLECCION c/img Celulares AO Feb2025",not_delivering,91,actions:omni_landing_page_view,24.4732967,7040,Diario,2227.07,4794,3774,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:19:44-0300,-,-,-,"AO (Celulares)  | Target A+",,
2026-04-01,2026-04-30,"IMG AO Wearables Feb2025",not_delivering,60,actions:omni_landing_page_view,46.27466667,2000,Diario,2776.48,2279,2083,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:21:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-04-01,2026-04-30,"COLECCION c/video Generica AO Feb2025",not_delivering,1756,actions:omni_landing_page_view,17.87002278,2000,Diario,31379.76,75087,20216,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-24T17:25:47-0300,-,-,-,"AO Trafico | Target A+",,
2026-04-01,2026-04-30,"Dinamico (carrusel) Kitchen Anafe",not_delivering,475,actions:omni_landing_page_view,32.97328421,2000,Diario,15662.31,20836,13617,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-04T18:17:52-0300,-,-,-,"AO (Kitchen Anafes) | Target A+",,
2026-04-01,2026-04-30,"IMG AO KitchenFeb2025",not_delivering,85,actions:omni_landing_page_view,67.59282353,1500,Diario,5745.39,5615,4827,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-04T17:25:24-0300,-,-,-,"AO (Kitchen Microondas) | Target A+",,
2026-04-01,2026-04-30,"Dinamico (carrusel) Kitchen Microondas",not_delivering,166,actions:omni_landing_page_view,35.16753012,1500,Diario,5837.81,8936,7314,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-04T17:25:24-0300,-,-,-,"AO (Kitchen Microondas) | Target A+",,
2026-04-01,2026-04-30,"Dinamico (carrusel) Kitchen Heladeras ticket alto",not_delivering,4389,actions:omni_landing_page_view,28.99114377,2000,Diario,127242.13,185249,81834,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:14:25-0300,-,-,-,"AO (Electro Heladeras) | Target A+",,
2026-04-01,2026-04-30,"Dinamico (img/video) Kitchen Heladeras ticket alto",not_delivering,24,actions:omni_landing_page_view,63.01458333,2000,Diario,1512.35,2149,1945,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:14:25-0300,-,-,-,"AO (Electro Heladeras) | Target A+",,
2026-04-01,2026-04-30,"Dinamico (img/video) Informatica Monitores",not_delivering,457,actions:omni_landing_page_view,24.17435449,1500,Diario,11047.68,14307,8497,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:12:48-0300,-,-,-,"AO (InformaticaMonitores)  | Target A+",,
2026-04-01,2026-04-30,"Dinamico (carrusel) Audio Soundbar",not_delivering,5194,actions:omni_landing_page_view,24.58252022,7000,Diario,127681.61,216175,105762,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:12:02-0300,-,-,-,"AO (AudioSoundbar)  | Target A+",,
2026-04-01,2026-04-30,"Dinamico (carrusel) Audio MusicFrame",not_delivering,479,actions:omni_landing_page_view,23.38776618,1500,Diario,11202.74,22189,10547,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-05T14:20:48-0300,-,-,-,"AO (AudioMusicFrame)  | Target A+",,
