"Inicio del informe","Fin del informe","Nombre del conjunto de anuncios","Entrega del conjunto de anuncios",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,Inicio,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-04-01,2026-04-30,"Killers Mensuales | RMK WEB (70)",inactive,16,actions:offsite_conversion.fb_pixel_purchase,1468.1325,2000,Diario,23490.12,10138,5623,"En curso",2025-07-23,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-27T14:46:28-0300,,
2026-04-01,2026-04-30,"AO Catalogo | DABA",not_delivering,143,actions:offsite_conversion.fb_pixel_purchase,410.78972028,2000,Diario,58742.93,31544,14149,"En curso",2025-07-30,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-06T22:28:36-0300,,
2026-04-01,2026-04-30,"IG Postesos RMK Generales",inactive,9157,actions:post_engagement,1.30257617,1500,Diario,11927.69,20408,15483,"En curso",2025-10-08,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-11T15:22:58-0300,,
2026-04-01,2026-04-30,"FB Postesos RMK Generales",inactive,11134,actions:post_engagement,1.07619813,1500,Diario,11982.39,23703,15971,"En curso",2025-10-08,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-08T14:22:15-0300,,
2026-04-01,2026-04-30,"AO (Celulares)  | Target A+",not_delivering,7373,actions:omni_landing_page_view,16.30363895,7040,Diario,120206.73,256452,138727,"En curso",2025-12-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:19:44-0300,,
2026-04-01,2026-04-30,"AO (TV)  | Target A+",not_delivering,13596,actions:omni_landing_page_view,18.25779494,7000,Diario,248232.98,364941,181580,"En curso",2025-12-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:09:59-0300,,
2026-04-01,2026-04-30,"AO (Kitchen) | Target A+",not_delivering,666,actions:omni_landing_page_view,72.81690691,2000,Diario,48496.06,46902,32096,"En curso",2025-12-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:17:52-0300,,
2026-04-01,2026-04-30,"AO (Wearables)  | Target A+",not_delivering,1943,actions:omni_landing_page_view,33.85881112,2000,Diario,65787.67,89807,60212,"En curso",2025-12-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:21:57-0300,,
2026-04-01,2026-04-30,"AO Leads | Target Samsung",not_delivering,75,actions:leadgen.other,599.53546667,1500,Diario,44965.16,10107,5505,"En curso",2025-12-26,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-26T17:17:54-0300,,
2026-04-01,2026-04-30,"AO Trafico | Target A+",not_delivering,1883,actions:omni_landing_page_view,18.11231014,2000,Diario,34105.48,80958,21276,"En curso",2026-02-24,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-24T17:25:47-0300,,
2026-04-01,2026-04-30,"AO (Kitchen Anafes) | Target A+",inactive,477,actions:omni_landing_page_view,32.96710692,2000,Diario,15725.31,20985,13699,"En curso",2026-03-04,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-04T18:17:52-0300,,
