"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-01,2026-05-31,"DINAMICO (img/video) Killers (actualizar conjunto de prod) - Copia",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,6519.26666667,2000,Diario,19557.8,13696,8850,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-06T22:28:36-0300,Promedio,-,-,"AO Catalogo | DABA",,
2026-05-01,2026-05-31,"Dinamico (carrusel) Wearables",not_delivering,512,actions:omni_landing_page_view,32.18171875,2000,Diario,16477.04,29137,21948,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:21:57-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (Wearables)  | Target A+",,
2026-05-01,2026-05-31,"Dinamico (img/video) Wearables",not_delivering,5,actions:omni_landing_page_view,74.696,2000,Diario,373.48,404,398,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:21:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-01,2026-05-31,"Dinamico (carrusel) Celu",not_delivering,4319,actions:omni_landing_page_view,16.26767076,7040,Diario,70260.07,192053,115206,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:19:44-0300,"Por encima del promedio","Por encima del promedio","Por encima del promedio","AO (Celulares)  | Target A+",,
2026-05-01,2026-05-31,"Dinamico (img/video) TV Killers",not_delivering,136,actions:omni_landing_page_view,15.44602941,7000,Diario,2100.66,2152,1825,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:09:59-0300,"Por encima del promedio","Por encima del promedio","Por encima del promedio","AO (TV)  | Target A+",,
2026-05-01,2026-05-31,"Dinamico (carrusel) TV killers",not_delivering,5020,actions:omni_landing_page_view,13.43660159,7000,Diario,67451.74,139213,81981,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:09:59-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (TV)  | Target A+",,
2026-05-01,2026-05-31,"COLECCION c/img Celulares AO Feb2025",not_delivering,16,actions:omni_landing_page_view,31.31125,7040,Diario,500.98,1215,917,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:19:44-0300,"Por encima del promedio","Por encima del promedio","Por encima del promedio","AO (Celulares)  | Target A+",,
2026-05-01,2026-05-31,"COLECCION c/img Wearables AO Feb2025",not_delivering,8,actions:omni_landing_page_view,92.09375,2000,Diario,736.75,964,921,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:21:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-01,2026-05-31,"VIDEO AO Celulares Feb2025",not_delivering,1,actions:omni_landing_page_view,110.43,7040,Diario,110.43,40,40,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:19:44-0300,-,-,-,"AO (Celulares)  | Target A+",,
2026-05-01,2026-05-31,"COLECCION c/video Kitchen AO Feb2025",not_delivering,328,actions:omni_landing_page_view,54.15,2000,Diario,17761.2,29289,14548,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:17:52-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (Kitchen) | Target A+",,
2026-05-01,2026-05-31,"COLECCION c/video Wearables AO Feb2025",not_delivering,8,actions:omni_landing_page_view,31.4,2000,Diario,251.2,439,406,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:21:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-01,2026-05-31,"Dinamico (carrusel) Kitchen Heladeras ticket alto",not_delivering,877,actions:omni_landing_page_view,23.0768073,2000,Diario,20238.36,42880,29709,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:14:25-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (Electro Heladeras) | Target A+",,
2026-05-01,2026-05-31,"Dinamico (img/video) Informatica Monitores",not_delivering,22,actions:omni_landing_page_view,20.94045455,1500,Diario,460.69,421,411,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:12:48-0300,-,-,-,"AO (InformaticaMonitores)  | Target A+",,
2026-05-01,2026-05-31,"Dinamico (carrusel) Informatica Monitores",not_delivering,715,actions:omni_landing_page_view,20.66632168,1500,Diario,14776.42,17863,11793,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:12:48-0300,"Por encima del promedio","Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (InformaticaMonitores)  | Target A+",,
2026-05-01,2026-05-31,"Dinamico (carrusel) Audio Soundbar",not_delivering,2634,actions:omni_landing_page_view,26.64590357,7000,Diario,70185.31,142920,73665,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:12:02-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (AudioSoundbar)  | Target A+",,
2026-05-01,2026-05-31,"Dinamico (img/video) Audio Soundbar",not_delivering,1,actions:omni_landing_page_view,18.12,7000,Diario,18.12,71,62,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:12:02-0300,-,-,-,"AO (AudioSoundbar)  | Target A+",,
2026-05-01,2026-05-31,"DINAMICO (carrusel) TV",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,9600.55,5000,Diario,28801.65,9990,4782,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-06T22:22:36-0300,Promedio,"Por encima del promedio",Promedio,"TV | RMK WEB TV",,
