"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-01,2026-05-31,"Multi  (Meta) PERF | AO Categorias - Trafico",not_delivering,18468,actions:omni_landing_page_view,17.60800412,"Con el presupuesto del conjunto de anuncios",0,325184.62,682210,330186,"En curso","7 días tras clic o 1 día tras visualización",,
2026-05-01,2026-05-31,"Multi  (Meta) PERF | AO Categorias - Conversiones",not_delivering,54,actions:offsite_conversion.fb_pixel_purchase,3405.25055556,"Con el presupuesto del conjunto de anuncios",0,183883.53,64707,19570,"En curso","7 días tras clic o 1 día tras visualización",,
2026-05-01,2026-05-31,"Multi  (Meta) PERF | PROMO - Conversiones",inactive,43,actions:offsite_conversion.fb_pixel_purchase,5451.42813953,"Con el presupuesto del conjunto de anuncios",0,234411.41,74608,30210,"En curso","Configuración de atribución múltiple",,
2026-05-01,2026-05-31,"Multi  (Meta) PERF | AO - Catalogo",inactive,3,actions:offsite_conversion.fb_pixel_purchase,6853.85,"Con el presupuesto del conjunto de anuncios",0,20561.55,14287,9103,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,
2026-05-01,2026-05-31,"Multi | Perf | Lanzamiento - Conversiones OK",inactive,25,actions:offsite_conversion.fb_pixel_purchase,1476.1952,"Con el presupuesto del conjunto de anuncios",0,36904.88,12050,4826,2026-06-30,"7 días tras clic o 1 día tras visualización",,
2026-05-01,2026-05-31,"Multi (Meta) BRAND | HOTSALE 2026 (Previa) - Leads",inactive,517,actions:leadgen.other,950.25988395,"Con el presupuesto del conjunto de anuncios",0,491284.36,74983,36701,2026-05-10,"7 días tras clic o 1 día tras visualización",,
2026-05-01,2026-05-31,"Multi (Meta) BRAND | HOTSALE 2026 (Previa) - Interaccion (Posteos)",inactive,53770,actions:post_engagement,0.82648838,"Con el presupuesto del conjunto de anuncios",0,44440.28,91128,85289,2026-05-10,"7 días tras clic o 1 día tras visualización",,
2026-05-01,2026-05-31,"Multi (Meta) PERF | HOTSALE 2026 - Conv",inactive,193,actions:offsite_conversion.fb_pixel_purchase,3388.40233161,"Con el presupuesto del conjunto de anuncios",0,653961.65,186691,98668,2026-05-17,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,
2026-05-01,2026-05-31,"Multi (Meta) PERF | HOTSALE 2026 - Conv (xcategorias)",inactive,31,actions:offsite_conversion.fb_pixel_purchase,4229.01741935,"Con el presupuesto del conjunto de anuncios",0,131099.54,29150,20127,2026-05-17,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,
2026-05-01,2026-05-31,"Multi (Meta) PERF | HOTSALE 2026 - Trafico (xcategorias)",inactive,2019,actions:omni_landing_page_view,51.11762754,"Con el presupuesto del conjunto de anuncios",0,103206.49,122913,101716,2026-05-17,"7 días tras clic o 1 día tras visualización",,
