"Inicio del informe","Fin del informe","Nombre del conjunto de anuncios","Entrega del conjunto de anuncios",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,Inicio,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-01,2026-05-31,"AO Catalogo | DABA",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,6853.85,2000,Diario,20561.55,14287,9103,"En curso",2025-07-30,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-06T22:28:36-0300,,
2026-05-01,2026-05-31,"AO (Celulares)  | Target A+",not_delivering,4336,actions:omni_landing_page_view,16.34886762,7040,Diario,70888.69,193335,115792,"En curso",2025-12-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:19:44-0300,,
2026-05-01,2026-05-31,"AO (TV)  | Target A+",not_delivering,5197,actions:omni_landing_page_view,13.50769867,7000,Diario,70199.51,141952,83588,"En curso",2025-12-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:09:59-0300,,
2026-05-01,2026-05-31,"AO (Kitchen) | Target A+",not_delivering,377,actions:omni_landing_page_view,53.94363395,2000,Diario,20336.75,32622,16614,"En curso",2025-12-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:17:52-0300,,
2026-05-01,2026-05-31,"AO (Wearables)  | Target A+",not_delivering,540,actions:omni_landing_page_view,34.30762963,2000,Diario,18526.12,31325,23603,"En curso",2025-12-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:21:57-0300,,
2026-05-01,2026-05-31,"AO (Electro Heladeras) | Target A+",not_delivering,878,actions:omni_landing_page_view,23.11250569,2000,Diario,20292.78,42935,29780,"En curso",2026-03-04,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:14:25-0300,,
2026-05-01,2026-05-31,"AO (InformaticaMonitores)  | Target A+",not_delivering,737,actions:omni_landing_page_view,20.67450475,1500,Diario,15237.11,18284,11952,"En curso",2026-03-04,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:12:48-0300,,
2026-05-01,2026-05-31,"AO (AudioSoundbar)  | Target A+",not_delivering,2635,actions:omni_landing_page_view,26.64266793,7000,Diario,70203.43,142991,73665,"En curso",2026-03-05,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:12:02-0300,,
2026-05-01,2026-05-31,"TV | RMK WEB TV",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,16547.21333333,5000,Diario,49641.64,16373,7237,"En curso",2026-03-05,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-06T22:22:36-0300,,
2026-05-01,2026-05-31,"Celulares | RMK WEB Celulares",not_delivering,10,actions:offsite_conversion.fb_pixel_purchase,2837.839,3000,Diario,28378.39,9726,4294,"En curso",2026-03-05,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-06T22:17:12-0300,,
2026-05-01,2026-05-31,"ELECTRODAYS 2026 |  RMK WEB + LKL",not_delivering,12,actions:offsite_conversion.fb_pixel_purchase,2042.85833333,3000,Diario,24514.3,9458,6685,2026-05-31,2026-03-08,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-07T03:55:36-0300,,
2026-05-01,2026-05-31,"Electro Heladera | RMK WEB Electro",not_delivering,20,actions:offsite_conversion.fb_pixel_purchase,1457.355,3000,Diario,29147.1,11324,5376,"En curso",2026-04-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-06T22:11:08-0300,,
2026-05-01,2026-05-31,"Kitchen | RMK WEB Kitchen",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,9570.49333333,3000,Diario,28711.48,10931,5555,"En curso",2026-04-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-06T22:07:56-0300,,
2026-05-01,2026-05-31,"AO (Accesorios)  | Target A+",not_delivering,3768,actions:omni_landing_page_view,10.4830759,4000,Diario,39500.23,78766,48695,"En curso",2026-04-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-04T16:11:13-0300,,
2026-05-01,2026-05-31,"MUNDIAL 2026 TV |  RMK WEB TV",not_delivering,8,actions:offsite_conversion.fb_pixel_purchase,5189.6525,5000,Diario,41517.22,9445,3450,2026-05-31,2026-04-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-07T03:53:45-0300,,
2026-05-01,2026-05-31,"BNA 20 CSI Abril 2026 |  Target bancos y tarjetas",not_delivering,21,actions:offsite_conversion.fb_pixel_purchase,3840.68761905,10000,Diario,80654.44,26210,13637,2026-05-31,2026-04-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-06T22:42:36-0300,,
2026-05-01,2026-05-31,"Audio Soundbar | RMK WEB Audio",not_delivering,18,actions:offsite_conversion.fb_pixel_purchase,2666.94,5000,Diario,48004.92,16353,2508,"En curso",2026-04-17,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-06T22:00:56-0300,,
2026-05-01,2026-05-31,"BNA + Cupon 2026 Killers |  RMK WEB BNA",not_delivering,,,,4000,Diario,32229.75,9439,5593,2026-05-31,2026-04-22,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-06T22:32:50-0300,,
2026-05-01,2026-05-31,"BANCARIAS 2026 |  RMK 30",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,27747.85,7000,Diario,55495.7,20056,9845,2026-05-31,2026-04-29,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-06T22:31:26-0300,,
2026-05-01,2026-05-31,"HOTSALE 2025 (Previa) | Target A+ Principales ciudades",not_delivering,298,actions:leadgen.other,955.36630872,45000,Diario,284699.16,37124,19278,2026-05-10,2026-04-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-08T11:42:06-0300,,
2026-05-01,2026-05-31,"HOTSALE 2025 (Previa) | Target Samsung",not_delivering,178,actions:leadgen.other,849.10786517,10000,Diario,151141.2,28008,16318,2026-05-10,2026-04-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-04-30T23:28:37-0300,,
2026-05-01,2026-05-31,"HOTSALE 2025 (Previa) | RMK",not_delivering,41,actions:leadgen.other,1352.29268293,10000,Diario,55444,9851,3591,2026-05-10,2026-05-05,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-05T10:49:13-0300,,
2026-05-01,2026-05-31,"FB HOTSALE 2026 Target amplio",not_delivering,29642,actions:post_engagement,0.75054247,5000,Diario,22247.58,48674,46544,2026-05-10,2026-05-05,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-05T12:47:13-0300,,
2026-05-01,2026-05-31,"IG HOTSALE 2026 Target amplio",not_delivering,24128,actions:post_engagement,0.91979029,5000,Diario,22192.7,42454,41388,2026-05-10,2026-05-05,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-05T12:47:06-0300,,
2026-05-01,2026-05-31,"HOTSALE 2026 | RMK Previa",not_delivering,100,actions:offsite_conversion.fb_pixel_purchase,1983.8767,50000,Diario,198387.67,19318,7025,2026-05-17,2026-05-07,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T23:10:34-0300,,
2026-05-01,2026-05-31,"HOTSALE 2026 | RMK 3 dias",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,1945.95,10000,Diario,7783.8,840,609,2026-05-17,2026-05-07,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T23:05:55-0300,,
2026-05-01,2026-05-31,"HOTSALE 2026 | Lookalike + RMK",not_delivering,30,actions:offsite_conversion.fb_pixel_purchase,5062.94066667,20000,Diario,151888.22,53113,37896,2026-05-17,2026-05-07,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T23:26:50-0300,,
2026-05-01,2026-05-31,"HOTSALE 2026 | RMK Carritos",not_delivering,6,actions:offsite_conversion.fb_pixel_purchase,2007.30166667,10000,Diario,12043.81,3081,2456,2026-05-17,2026-05-07,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T23:12:10-0300,,
2026-05-01,2026-05-31,"HOTSALE 2026 | RMK TV",not_delivering,31,actions:offsite_conversion.fb_pixel_purchase,4229.01741935,50000,Diario,131099.54,29150,20127,2026-05-17,2026-05-07,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T23:15:15-0300,,
2026-05-01,2026-05-31,"HOT SALE 2026 Trafico (Informatica)  | Target A+",not_delivering,2,actions:omni_landing_page_view,85.33,10000,Diario,170.66,155,154,2026-05-17,2026-05-08,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T23:05:33-0300,,
2026-05-01,2026-05-31,"HOT SALE 2026 Trafico (Electro) | Target A+",not_delivering,133,actions:omni_landing_page_view,37.86578947,10000,Diario,5036.15,7148,7012,2026-05-17,2026-05-08,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T23:06:13-0300,,
2026-05-01,2026-05-31,"HOT SALE 2026 Trafico (Kitchen) | Target A+",not_delivering,126,actions:omni_landing_page_view,56.17857143,10000,Diario,7078.5,7896,7530,2026-05-17,2026-05-08,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T23:05:08-0300,,
2026-05-01,2026-05-31,"HOT SALE 2026 Trafico (TV)  | Target A+",inactive,1709,actions:omni_landing_page_view,52.15440023,50000,Diario,89131.87,104787,86897,2026-05-17,2026-05-08,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T23:07:24-0300,,
2026-05-01,2026-05-31,"HOT SALE 2026 Trafico (Celulares)  | Target A+",inactive,49,actions:omni_landing_page_view,36.51653061,10000,Diario,1789.31,2927,2890,2026-05-17,2026-05-08,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T23:23:13-0300,,
2026-05-01,2026-05-31,"HOT SALE 2026 Trafico (KillersFullFoco) | Target A+",inactive,8170,actions:omni_landing_page_view,69.46755202,250000,Diario,567549.9,769670,435825,2026-05-17,2026-05-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-12T19:25:29-0300,,
2026-05-01,2026-05-31,"HOTSALE 2026 Catalogo | Lookalike Ticket Alto",inactive,5,actions:offsite_conversion.fb_pixel_purchase,12025.958,25000,Diario,60129.79,9077,5577,2026-05-17,2026-05-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-11T15:06:31-0300,,
2026-05-01,2026-05-31,"HOTSALE 2026 Catalogo | Target A+",not_delivering,49,actions:offsite_conversion.fb_pixel_purchase,1232.48816327,10000,Diario,60391.92,5151,2592,2026-05-18,2026-05-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T23:04:36-0300,,
2026-05-01,2026-05-31,"HOTSALE 2026 MODO | Target",inactive,45,actions:offsite_conversion.fb_pixel_purchase,3789.52244444,50000,Diario,170528.51,65042,34872,2026-05-13,2026-05-09,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-11T19:28:01-0300,,
2026-05-01,2026-05-31,"HOT SALE 2026 Trafico (Samsung) | Target Samsung",inactive,179,actions:omni_landing_page_view,110.79106145,10000,Diario,19831.6,17513,15146,2026-05-13,2026-05-09,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-11T12:12:50-0300,,
2026-05-01,2026-05-31,"HOTSALE 2026 Bancarias | Target tarjeta credito",inactive,8,actions:offsite_conversion.fb_pixel_purchase,14166.205,50000,Diario,113329.64,45297,35591,2026-05-17,2026-05-10,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-11T19:33:35-0300,,
2026-05-01,2026-05-31,"FB HOTSALE 2026 Target amplio",inactive,913,actions:post_engagement,16.61936473,15000,Diario,15173.48,23739,20515,2026-05-15,2026-05-11,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-11T00:39:48-0300,,
2026-05-01,2026-05-31,"IG HOTSALE 2026 Target amplio",inactive,310,actions:post_engagement,42.30890323,15000,Diario,13115.76,3146,3000,2026-05-15,2026-05-11,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-11T00:39:50-0300,,
