"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-18,2026-05-25,"DINAMICO (carrusel) Electro HOTSALE 2026",not_delivering,16,actions:offsite_conversion.fb_pixel_purchase,1242.66,20000,Diario,19882.56,3512,1661,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:38-0300,Promedio,"Por encima del promedio",Promedio,"HOTSALE 2026 | RMK Previa",,
2026-05-18,2026-05-25,"COLECCION c/video HOTSALE 2026",not_delivering,,,,20000,Diario,110.35,33,29,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:38-0300,-,-,-,"HOTSALE 2026 | RMK Previa",,
2026-05-18,2026-05-25,"DINAMICO (carrusel)  Wearables HOTSALE 2026",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,1254.8575,5000,Diario,5019.43,1257,861,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:13-0300,-,-,-,"HOTSALE 2026 | RMK Wearables",,
2026-05-18,2026-05-25,"DINAMICO (carrusel)  Kitchen HOTSALE 2026 - Copia",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,1244.19,5000,Diario,4976.76,1131,741,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:18-0300,"Por encima del promedio",Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","HOTSALE 2026 | RMK Kitchen",,
2026-05-18,2026-05-25,"DINAMICO (carrusel) Electro HOTSALE 2026",not_delivering,,,,5000,Diario,710.6,163,140,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:13-0300,-,-,-,"HOTSALE 2026 | RMK Electro",,
2026-05-18,2026-05-25,"Dinamico (img/video) Electro HOTSALE 2026",not_delivering,,,,3000,Diario,15.32,16,16,2026-05-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T19:37:23-0300,-,-,-,"HOT SALE 2026 Trafico (Electro) | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel)Portada killer  Electro HOTSALE 2026 - Copia",not_delivering,41,actions:omni_landing_page_view,17.18170732,3000,Diario,704.45,1066,1034,2026-05-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T19:37:23-0300,-,-,-,"HOT SALE 2026 Trafico (Electro) | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) Electro HOTSALE 2026",not_delivering,35,actions:omni_landing_page_view,27.40485714,3000,Diario,959.17,1094,1043,2026-05-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T19:37:23-0300,-,-,-,"HOT SALE 2026 Trafico (Electro) | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) Kitchen HOTSALE 2026",not_delivering,69,actions:omni_landing_page_view,23.49971014,3000,Diario,1621.48,1759,1516,2026-05-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T19:37:23-0300,"Por encima del promedio","Por debajo del promedio - 20% de los anuncios menos relevantes",Promedio,"HOT SALE 2026 Trafico (Kitchen) | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) Wearables HOTSALE 2026",not_delivering,55,actions:omni_landing_page_view,30.38254545,3000,Diario,1671.04,2153,2031,2026-05-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T22:52:53-0300,-,-,-,"HOT SALE 2026 Trafico (Wearables)  | Target A+ - Copia",,
