"Inicio del informe","Fin del informe","Nombre del conjunto de anuncios","Entrega del conjunto de anuncios",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,Inicio,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-18,2026-05-25,"HOTSALE 2026 | RMK 3 dias",not_delivering,6,actions:offsite_conversion.fb_pixel_purchase,1666.38333333,10000,Diario,9998.3,2736,1932,2026-05-18,2026-05-14,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:43-0300,,
2026-05-18,2026-05-25,"HOTSALE 2026 | RMK Previa",not_delivering,18,actions:offsite_conversion.fb_pixel_purchase,1110.71722222,20000,Diario,19992.91,3545,1668,2026-05-18,2026-05-14,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:38-0300,,
2026-05-18,2026-05-25,"HOTSALE 2026 | RMK Kitchen",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,1244.19,5000,Diario,4976.76,1131,741,2026-05-18,2026-05-14,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:18-0300,,
2026-05-18,2026-05-25,"HOTSALE 2026 | RMK Electro",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,1285.03,5000,Diario,5140.12,1391,1078,2026-05-18,2026-05-14,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:13-0300,,
2026-05-18,2026-05-25,"HOTSALE 2026 | RMK Wearables",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,1254.8575,5000,Diario,5019.43,1257,861,2026-05-18,2026-05-14,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:13-0300,,
2026-05-18,2026-05-25,"HOT SALE 2026 Trafico (Kitchen) | Target A+",not_delivering,69,actions:omni_landing_page_view,23.49971014,3000,Diario,1621.48,1759,1516,2026-05-18,2026-05-14,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T19:37:23-0300,,
2026-05-18,2026-05-25,"HOT SALE 2026 Trafico (Electro) | Target A+",not_delivering,76,actions:omni_landing_page_view,22.09131579,3000,Diario,1678.94,2176,2039,2026-05-18,2026-05-14,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T19:37:23-0300,,
2026-05-18,2026-05-25,"HOT SALE 2026 Trafico (Wearables)  | Target A+ - Copia",not_delivering,55,actions:omni_landing_page_view,30.38254545,3000,Diario,1671.04,2153,2031,2026-05-18,2026-05-14,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T22:52:53-0300,,
2026-05-18,2026-05-25,"HOTSALE 2026 Catalogo | Lookalike Ticket Alto",not_delivering,,,,7000,Diario,3911.8,896,783,2026-05-18,2026-05-14,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T19:38:33-0300,,
2026-05-18,2026-05-25,"HOTSALE 2026 Catalogo | Target A+",not_delivering,,,,7000,Diario,3911.4,622,440,2026-05-18,2026-05-14,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T19:38:34-0300,,
2026-05-18,2026-05-25,"HOT SALE 2026 Trafico (TV)  | Target A+ - Copia",not_delivering,69,actions:omni_landing_page_view,24.06362319,3000,Diario,1660.39,1642,1474,2026-05-18,2026-05-15,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-15T21:37:20-0300,,
2026-05-18,2026-05-25,"HOTSALE 2026 | RMK TV",not_delivering,,,,5000,Diario,4985.47,1454,1021,2026-05-18,2026-05-15,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-15T15:52:32-0300,,
2026-05-18,2026-05-25,"ELECTRODAYS 2026 |  RMK WEB + LKL",active,8,actions:offsite_conversion.fb_pixel_purchase,3141.7975,3000,Diario,25134.38,5716,2489,"En curso",2026-05-17,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-17T23:44:47-0300,,
2026-05-18,2026-05-25,"AO (Celulares)  | Target A+",active,1506,actions:omni_landing_page_view,30.15047809,7040,Diario,45406.62,80678,57559,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,,
