"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-25,2026-06-01,"Dinamico (img/video) Celu",active,3,actions:omni_landing_page_view,4.87,7040,Diario,14.61,84,80,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Celulares)  | Target A+",,
2026-05-25,2026-06-01,"Dinamico (carrusel) Celu",active,1804,actions:omni_landing_page_view,29.40105876,7040,Diario,53039.51,106359,55832,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (Celulares)  | Target A+",,
2026-05-25,2026-06-01,"COLECCION c/video Celulares AO Feb2025",active,42,actions:omni_landing_page_view,36.26071429,7040,Diario,1522.95,3017,2095,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (Celulares)  | Target A+",,
2026-05-25,2026-06-01,"COLECCION c/img Celulares AO Feb2025",active,17,actions:omni_landing_page_view,34.35882353,7040,Diario,584.1,1357,1187,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (Celulares)  | Target A+",,
2026-05-25,2026-06-01,"COLECCION c/img Kitchen AO Feb2025",active,2,actions:omni_landing_page_view,11.625,2000,Diario,23.25,42,42,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-25,2026-06-01,"Dinamico (carrusel) Kitchen Heladeras ticket alto",active,480,actions:omni_landing_page_view,32.40429167,2000,Diario,15554.06,25113,17368,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:31:15-0300,Promedio,"Por encima del promedio",Promedio,"AO (Electro Heladeras) | Target A+",,
2026-05-25,2026-06-01,"Dinamico (carrusel) Informatica Monitores",active,539,actions:omni_landing_page_view,22.02263451,1500,Diario,11870.2,12964,8972,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:23-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (InformaticaMonitores)  | Target A+",,
2026-05-25,2026-06-01,"Dinamico (img/video) Kitchen Heladeras ticket alto",active,2,actions:omni_landing_page_view,87.73,2000,Diario,175.46,202,179,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:31:15-0300,-,-,-,"AO (Electro Heladeras) | Target A+",,
2026-05-25,2026-06-01,"Dinamico (carrusel) Wearables",active,407,actions:omni_landing_page_view,39.01302211,2000,Diario,15878.3,22030,16649,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (Wearables)  | Target A+",,
2026-05-25,2026-06-01,"COLECCION c/img Wearables AO Feb2025",active,1,actions:omni_landing_page_view,38.79,2000,Diario,38.79,61,58,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-25,2026-06-01,"COLECCION c/video Kitchen AO Feb2025",active,3,actions:omni_landing_page_view,16.45,2000,Diario,49.35,86,78,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-25,2026-06-01,"Dinamico (carrusel) Kitchen",active,566,actions:omni_landing_page_view,27.91086572,2000,Diario,15797.55,26962,19079,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (Kitchen) | Target A+",,
2026-05-25,2026-06-01,"Dinamico (carrusel) TV",active,3019,actions:omni_landing_page_view,18.58002981,7000,Diario,56093.11,101519,63959,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:51-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (TV)  | Target A+",,
