"Inicio del informe","Fin del informe","Nombre del conjunto de anuncios","Entrega del conjunto de anuncios",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,Inicio,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-25,2026-06-01,"MUNDIAL 2026 TV |  RMK WEB TV",active,3,actions:offsite_conversion.fb_pixel_purchase,11096.29,5000,Diario,33288.87,9361,3303,"En curso",2026-05-17,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,,
2026-05-25,2026-06-01,"ELECTRODAYS 2026 |  RMK WEB + LKL",active,1,actions:offsite_conversion.fb_pixel_purchase,23601.24,3000,Diario,23601.24,4977,2463,"En curso",2026-05-17,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-17T23:44:47-0300,,
2026-05-25,2026-06-01,"AO (Celulares)  | Target A+",active,1866,actions:omni_landing_page_view,29.57576635,7040,Diario,55188.38,110853,58547,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,,
2026-05-25,2026-06-01,"AO (TV)  | Target A+",active,3108,actions:omni_landing_page_view,18.49499678,7000,Diario,57482.45,103778,65419,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:51-0300,,
2026-05-25,2026-06-01,"AO (Kitchen) | Target A+",active,571,actions:omni_landing_page_view,27.82056042,2000,Diario,15885.54,27113,19225,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,,
2026-05-25,2026-06-01,"AO (Wearables)  | Target A+",active,410,actions:omni_landing_page_view,39.23982927,2000,Diario,16088.33,22260,16836,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,,
2026-05-25,2026-06-01,"AO (InformaticaMonitores)  | Target A+",active,567,actions:omni_landing_page_view,21.659806,1500,Diario,12281.11,13310,9096,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:23-0300,,
2026-05-25,2026-06-01,"AO (AudioSoundbar)  | Target A+",active,1692,actions:omni_landing_page_view,32.56777187,7000,Diario,55104.67,79124,46342,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,,
2026-05-25,2026-06-01,"AO (Electro Heladeras) | Target A+",active,482,actions:omni_landing_page_view,32.63385892,2000,Diario,15729.52,25315,17544,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:31:15-0300,,
2026-05-25,2026-06-01,"AO (Accesorios)  | Target A+",active,1052,actions:omni_landing_page_view,15.28681559,2000,Diario,16081.73,25588,20908,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:31:03-0300,,
2026-05-25,2026-06-01,"Audio Soundbar | RMK WEB Audio",active,10,actions:offsite_conversion.fb_pixel_purchase,4180.363,5000,Diario,41803.63,11480,1865,"En curso",2026-05-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:55:51-0300,,
2026-05-25,2026-06-01,"Kitchen | RMK WEB Kitchen",active,4,actions:offsite_conversion.fb_pixel_purchase,5963.11,3000,Diario,23852.44,7922,3518,"En curso",2026-05-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,,
2026-05-25,2026-06-01,"Electro Heladera | RMK WEB Electro",active,7,actions:offsite_conversion.fb_pixel_purchase,3615.39571429,3000,Diario,25307.77,9752,4594,"En curso",2026-05-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,,
2026-05-25,2026-06-01,"Celulares | RMK WEB Celulares",active,6,actions:offsite_conversion.fb_pixel_purchase,4066.605,3000,Diario,24399.63,7828,3238,"En curso",2026-05-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:03-0300,,
2026-05-25,2026-06-01,"TV | RMK WEB TV",active,20,actions:offsite_conversion.fb_pixel_purchase,2103.508,5000,Diario,42070.16,12974,5313,"En curso",2026-05-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,,
2026-05-25,2026-06-01,"Lanz A57 + A36 | RMK Celulares + LKL",active,25,actions:offsite_conversion.fb_pixel_purchase,1265.6956,4216,Diario,31642.39,11211,4986,2026-06-30,2026-05-22,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-22T17:50:17-0300,,
2026-05-25,2026-06-01,"AO Leads | Target Samsung",active,8,actions:leadgen.other,1212.87875,1500,Diario,9703.03,2225,1758,"En curso",2026-05-26,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-26T18:30:12-0300,,
2026-05-25,2026-06-01,"IG Postesos RMK Generales",active,40,actions:post_engagement,28.315,1500,Diario,1132.6,225,214,"En curso",2026-06-01,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-06-01T11:34:28-0300,,
